Comunidades autónomas;País de residencia;Meses;Total
Galicia;Total;Enero;150.465
Galicia;Total;Febrero;168.159
Galicia;Total;Marzo;243.531
Galicia;Total;Abril;247.600
Galicia;Total;Mayo;285.453
Galicia;Total;Junio;327.823
Galicia;Total;Julio;444.056
Galicia;Total;Agosto;562.299
Galicia;Total;Septiembre;372.192
Galicia;Total;Octubre;301.284
Galicia;Total;Noviembre;231.499
Galicia;Total;Diciembre;195.541
Galicia;Residentes en España;Enero;130.891
Galicia;Residentes en España;Febrero;146.436
Galicia;Residentes en España;Marzo;214.316
Galicia;Residentes en España;Abril;200.809
Galicia;Residentes en España;Mayo;223.232
Galicia;Residentes en España;Junio;254.693
Galicia;Residentes en España;Julio;365.832
Galicia;Residentes en España;Agosto;468.195
Galicia;Residentes en España;Septiembre;295.630
Galicia;Residentes en España;Octubre;240.793
Galicia;Residentes en España;Noviembre;197.524
Galicia;Residentes en España;Diciembre;164.919
Galicia;No residentes en España;Enero;19.574
Galicia;No residentes en España;Febrero;21.723
Galicia;No residentes en España;Marzo;29.215
Galicia;No residentes en España;Abril;46.791
Galicia;No residentes en España;Mayo;62.221
Galicia;No residentes en España;Junio;73.130
Galicia;No residentes en España;Julio;78.224
Galicia;No residentes en España;Agosto;94.104
Galicia;No residentes en España;Septiembre;76.562
Galicia;No residentes en España;Octubre;60.491
Galicia;No residentes en España;Noviembre;33.974
Galicia;No residentes en España;Diciembre;30.622
Galicia;Unión Europea (sin España);Enero;13.384
Galicia;Unión Europea (sin España);Febrero;15.846
Galicia;Unión Europea (sin España);Marzo;22.061
Galicia;Unión Europea (sin España);Abril;34.928
Galicia;Unión Europea (sin España);Mayo;46.588
Galicia;Unión Europea (sin España);Junio;54.767
Galicia;Unión Europea (sin España);Julio;59.585
Galicia;Unión Europea (sin España);Agosto;78.592
Galicia;Unión Europea (sin España);Septiembre;59.626
Galicia;Unión Europea (sin España);Octubre;42.868
Galicia;Unión Europea (sin España);Noviembre;24.809
