Comunidades y ciudades autónomas;País de residencia;Meses;Total
Galicia;Total;Enero;158.633
Galicia;Total;Febrero;179.698
Galicia;Total;Marzo;222.560
Galicia;Total;Abril;377.253
Galicia;Total;Mayo;399.010
Galicia;Total;Junio;466.956
Galicia;Total;Julio;588.140
Galicia;Total;Agosto;705.408
Galicia;Total;Septiembre;527.839
Galicia;Total;Octubre;428.851
Galicia;Total;Noviembre;239.171
Galicia;Total;Diciembre;202.132
Galicia;Residentes en España;Enero;133.806
Galicia;Residentes en España;Febrero;150.944
Galicia;Residentes en España;Marzo;183.403
Galicia;Residentes en España;Abril;275.310
Galicia;Residentes en España;Mayo;231.162
Galicia;Residentes en España;Junio;294.836
Galicia;Residentes en España;Julio;427.993
Galicia;Residentes en España;Agosto;532.857
Galicia;Residentes en España;Septiembre;324.660
Galicia;Residentes en España;Octubre;276.745
Galicia;Residentes en España;Noviembre;193.308
Galicia;Residentes en España;Diciembre;171.455
Galicia;No residentes en España;Enero;24.828
Galicia;No residentes en España;Febrero;28.754
Galicia;No residentes en España;Marzo;39.157
Galicia;No residentes en España;Abril;101.943
Galicia;No residentes en España;Mayo;167.848
Galicia;No residentes en España;Junio;172.121
Galicia;No residentes en España;Julio;160.147
Galicia;No residentes en España;Agosto;172.552
Galicia;No residentes en España;Septiembre;203.179
Galicia;No residentes en España;Octubre;152.106
Galicia;No residentes en España;Noviembre;45.864
Galicia;No residentes en España;Diciembre;30.677
Galicia;Unión Europea (sin España);Enero;14.940
Galicia;Unión Europea (sin España);Febrero;19.520
Galicia;Unión Europea (sin España);Marzo;25.423
Galicia;Unión Europea (sin España);Abril;74.021
Galicia;Unión Europea (sin España);Mayo;103.370
Galicia;Unión Europea (sin España);Junio;113.034
Galicia;Unión Europea (sin España);Julio;111.686
Galicia;Unión Europea (sin España);Agosto;133.504
Galicia;Unión Europea (sin España);Septiembre;134.096
Galicia;Unión Europea (sin España);Octubre;91.385
Galicia;Unión Europea (sin España);Noviembre;27.587
Galicia;Unión Europea (sin España);Diciembre;21.847
Galicia;Alemania;Enero;1.269
Galicia;Alemania;Febrero;1.325
Galicia;Alemania;Marzo;3.515
Galicia;Alemania;Abril;13.165
Galicia;Alemania;Mayo;22.254
Galicia;Alemania;Junio;23.011
Galicia;Alemania;Julio;13.413
Galicia;Alemania;Agosto;14.559
Galicia;Alemania;Septiembre;24.482
Galicia;Alemania;Octubre;14.860
Galicia;Alemania;Noviembre;3.891
Galicia;Alemania;Diciembre;1.187
Galicia;Austria;Enero;61
Galicia;Austria;Febrero;100
Galicia;Austria;Marzo;332
Galicia;Austria;Abril;1.065
Galicia;Austria;Mayo;1.723
Galicia;Austria;Junio;2.004
Galicia;Austria;Julio;1.266
Galicia;Austria;Agosto;1.397
Galicia;Austria;Septiembre;2.160
Galicia;Austria;Octubre;1.335
Galicia;Austria;Noviembre;435
Galicia;Austria;Diciembre;58
Galicia;Bélgica;Enero;216
Galicia;Bélgica;Febrero;209
Galicia;Bélgica;Marzo;335
Galicia;Bélgica;Abril;1.554
Galicia;Bélgica;Mayo;1.828
Galicia;Bélgica;Junio;2.388
Galicia;Bélgica;Julio;2.558
Galicia;Bélgica;Agosto;2.270
Galicia;Bélgica;Septiembre;3.629
Galicia;Bélgica;Octubre;1.711
Galicia;Bélgica;Noviembre;358
Galicia;Bélgica;Diciembre;387
Galicia;Dinamarca;Enero;84
Galicia;Dinamarca;Febrero;89
Galicia;Dinamarca;Marzo;136
Galicia;Dinamarca;Abril;1.103
Galicia;Dinamarca;Mayo;2.918
Galicia;Dinamarca;Junio;1.416
Galicia;Dinamarca;Julio;2.232
Galicia;Dinamarca;Agosto;1.211
Galicia;Dinamarca;Septiembre;3.247
Galicia;Dinamarca;Octubre;1.452
Galicia;Dinamarca;Noviembre;249
Galicia;Dinamarca;Diciembre;106
Galicia;Finlandia;Enero;62
Galicia;Finlandia;Febrero;91
Galicia;Finlandia;Marzo;105
Galicia;Finlandia;Abril;723
Galicia;Finlandia;Mayo;826
Galicia;Finlandia;Junio;489
Galicia;Finlandia;Julio;491
Galicia;Finlandia;Agosto;777
Galicia;Finlandia;Septiembre;1.388
Galicia;Finlandia;Octubre;544
Galicia;Finlandia;Noviembre;212
Galicia;Finlandia;Diciembre;56
Galicia;Francia;Enero;2.194
Galicia;Francia;Febrero;1.641
Galicia;Francia;Marzo;2.739
Galicia;Francia;Abril;6.054
Galicia;Francia;Mayo;12.344
Galicia;Francia;Junio;12.711
Galicia;Francia;Julio;12.009
Galicia;Francia;Agosto;14.388
Galicia;Francia;Septiembre;13.669
Galicia;Francia;Octubre;11.081
Galicia;Francia;Noviembre;3.109
Galicia;Francia;Diciembre;1.787
Galicia;Grecia;Enero;60
Galicia;Grecia;Febrero;57
Galicia;Grecia;Marzo;136
Galicia;Grecia;Abril;272
Galicia;Grecia;Mayo;356
Galicia;Grecia;Junio;254
Galicia;Grecia;Julio;462
Galicia;Grecia;Agosto;907
Galicia;Grecia;Septiembre;473
Galicia;Grecia;Octubre;414
Galicia;Grecia;Noviembre;94
Galicia;Grecia;Diciembre;140
Galicia;Irlanda;Enero;221
Galicia;Irlanda;Febrero;344
Galicia;Irlanda;Marzo;717
Galicia;Irlanda;Abril;6.211
Galicia;Irlanda;Mayo;6.819
Galicia;Irlanda;Junio;6.541
Galicia;Irlanda;Julio;6.043
Galicia;Irlanda;Agosto;5.096
Galicia;Irlanda;Septiembre;11.180
Galicia;Irlanda;Octubre;5.993
Galicia;Irlanda;Noviembre;802
Galicia;Irlanda;Diciembre;294
Galicia;Italia;Enero;1.791
Galicia;Italia;Febrero;2.272
Galicia;Italia;Marzo;4.002
Galicia;Italia;Abril;7.971
Galicia;Italia;Mayo;14.901
Galicia;Italia;Junio;17.692
Galicia;Italia;Julio;20.866
Galicia;Italia;Agosto;36.523
Galicia;Italia;Septiembre;19.695
Galicia;Italia;Octubre;12.727
Galicia;Italia;Noviembre;4.034
Galicia;Italia;Diciembre;2.013
Galicia;Luxemburgo;Enero;..
Galicia;Luxemburgo;Febrero;..
Galicia;Luxemburgo;Marzo;61
Galicia;Luxemburgo;Abril;155
Galicia;Luxemburgo;Mayo;147
Galicia;Luxemburgo;Junio;441
Galicia;Luxemburgo;Julio;220
Galicia;Luxemburgo;Agosto;227
Galicia;Luxemburgo;Septiembre;306
Galicia;Luxemburgo;Octubre;316
Galicia;Luxemburgo;Noviembre;49
Galicia;Luxemburgo;Diciembre;21
Galicia;Países Bajos;Enero;507
Galicia;Países Bajos;Febrero;394
Galicia;Países Bajos;Marzo;637
Galicia;Países Bajos;Abril;1.922
Galicia;Países Bajos;Mayo;4.635
Galicia;Países Bajos;Junio;4.757
Galicia;Países Bajos;Julio;5.132
Galicia;Países Bajos;Agosto;4.242
Galicia;Países Bajos;Septiembre;4.831
Galicia;Países Bajos;Octubre;3.512
Galicia;Países Bajos;Noviembre;759
Galicia;Países Bajos;Diciembre;357
Galicia;Polonia;Enero;181
Galicia;Polonia;Febrero;450
Galicia;Polonia;Marzo;1.381
Galicia;Polonia;Abril;2.871
Galicia;Polonia;Mayo;2.787
Galicia;Polonia;Junio;4.370
Galicia;Polonia;Julio;4.393
Galicia;Polonia;Agosto;3.050
Galicia;Polonia;Septiembre;6.247
Galicia;Polonia;Octubre;5.253
Galicia;Polonia;Noviembre;1.086
Galicia;Polonia;Diciembre;282
Galicia;Portugal;Enero;6.342
Galicia;Portugal;Febrero;10.378
Galicia;Portugal;Marzo;8.021
Galicia;Portugal;Abril;20.375
Galicia;Portugal;Mayo;13.383
