Comunidades y ciudades autónomas;País de residencia;Meses;Total
Galicia;Total;Enero;143.036
Galicia;Total;Febrero;170.478
Galicia;Total;Marzo;229.789
Galicia;Total;Abril;302.232
Galicia;Total;Mayo;353.932
Galicia;Total;Junio;380.253
Galicia;Total;Julio;460.670
Galicia;Total;Agosto;562.156
Galicia;Total;Septiembre;428.272
Galicia;Total;Octubre;366.463
Galicia;Total;Noviembre;212.608
Galicia;Total;Diciembre;189.104
Galicia;Residentes en España;Enero;125.731
Galicia;Residentes en España;Febrero;147.111
Galicia;Residentes en España;Marzo;201.437
Galicia;Residentes en España;Abril;248.503
Galicia;Residentes en España;Mayo;262.904
Galicia;Residentes en España;Junio;292.478
Galicia;Residentes en España;Julio;364.717
Galicia;Residentes en España;Agosto;451.126
Galicia;Residentes en España;Septiembre;326.117
Galicia;Residentes en España;Octubre;291.408
Galicia;Residentes en España;Noviembre;186.311
Galicia;Residentes en España;Diciembre;166.347
Galicia;No residentes en España;Enero;17.306
Galicia;No residentes en España;Febrero;23.366
Galicia;No residentes en España;Marzo;28.352
Galicia;No residentes en España;Abril;53.729
Galicia;No residentes en España;Mayo;91.029
Galicia;No residentes en España;Junio;87.775
Galicia;No residentes en España;Julio;95.953
Galicia;No residentes en España;Agosto;111.030
Galicia;No residentes en España;Septiembre;102.155
Galicia;No residentes en España;Octubre;75.055
Galicia;No residentes en España;Noviembre;26.297
Galicia;No residentes en España;Diciembre;22.758
Galicia;Unión Europea (sin España);Enero;11.407
Galicia;Unión Europea (sin España);Febrero;16.360
Galicia;Unión Europea (sin España);Marzo;19.213
Galicia;Unión Europea (sin España);Abril;40.898
Galicia;Unión Europea (sin España);Mayo;69.583
Galicia;Unión Europea (sin España);Junio;66.869
Galicia;Unión Europea (sin España);Julio;68.670
Galicia;Unión Europea (sin España);Agosto;92.662
Galicia;Unión Europea (sin España);Septiembre;76.212
Galicia;Unión Europea (sin España);Octubre;52.533
Galicia;Unión Europea (sin España);Noviembre;17.550
Galicia;Unión Europea (sin España);Diciembre;15.044
Galicia;Alemania;Enero;782
Galicia;Alemania;Febrero;1.297
Galicia;Alemania;Marzo;3.058
Galicia;Alemania;Abril;7.054
Galicia;Alemania;Mayo;15.843
Galicia;Alemania;Junio;11.622
Galicia;Alemania;Julio;10.431
Galicia;Alemania;Agosto;9.659
Galicia;Alemania;Septiembre;15.617
Galicia;Alemania;Octubre;9.832
Galicia;Alemania;Noviembre;1.914
Galicia;Alemania;Diciembre;896
Galicia;Austria;Enero;100
Galicia;Austria;Febrero;86
Galicia;Austria;Marzo;149
Galicia;Austria;Abril;722
Galicia;Austria;Mayo;1.909
Galicia;Austria;Junio;871
Galicia;Austria;Julio;1.345
Galicia;Austria;Agosto;1.101
Galicia;Austria;Septiembre;1.583
Galicia;Austria;Octubre;717
Galicia;Austria;Noviembre;252
Galicia;Austria;Diciembre;77
Galicia;Bélgica;Enero;134
Galicia;Bélgica;Febrero;194
Galicia;Bélgica;Marzo;368
Galicia;Bélgica;Abril;451
Galicia;Bélgica;Mayo;3.136
Galicia;Bélgica;Junio;1.903
Galicia;Bélgica;Julio;1.956
Galicia;Bélgica;Agosto;1.694
Galicia;Bélgica;Septiembre;2.257
Galicia;Bélgica;Octubre;1.145
Galicia;Bélgica;Noviembre;380
Galicia;Bélgica;Diciembre;240
Galicia;Dinamarca;Enero;136
Galicia;Dinamarca;Febrero;132
Galicia;Dinamarca;Marzo;238
Galicia;Dinamarca;Abril;291
Galicia;Dinamarca;Mayo;794
Galicia;Dinamarca;Junio;668
Galicia;Dinamarca;Julio;582
Galicia;Dinamarca;Agosto;465
Galicia;Dinamarca;Septiembre;1.158
Galicia;Dinamarca;Octubre;914
Galicia;Dinamarca;Noviembre;113
Galicia;Dinamarca;Diciembre;91
Galicia;Finlandia;Enero;127
Galicia;Finlandia;Febrero;184
Galicia;Finlandia;Marzo;102
Galicia;Finlandia;Abril;542
Galicia;Finlandia;Mayo;796
Galicia;Finlandia;Junio;443
Galicia;Finlandia;Julio;424
Galicia;Finlandia;Agosto;305
Galicia;Finlandia;Septiembre;616
Galicia;Finlandia;Octubre;510
Galicia;Finlandia;Noviembre;68
Galicia;Finlandia;Diciembre;61
Galicia;Francia;Enero;1.184
Galicia;Francia;Febrero;1.396
Galicia;Francia;Marzo;1.978
Galicia;Francia;Abril;6.215
Galicia;Francia;Mayo;9.485
Galicia;Francia;Junio;9.639
Galicia;Francia;Julio;9.345
Galicia;Francia;Agosto;11.268
Galicia;Francia;Septiembre;11.502
Galicia;Francia;Octubre;6.602
Galicia;Francia;Noviembre;2.205
Galicia;Francia;Diciembre;1.462
Galicia;Grecia;Enero;30
Galicia;Grecia;Febrero;74
Galicia;Grecia;Marzo;32
Galicia;Grecia;Abril;105
Galicia;Grecia;Mayo;219
Galicia;Grecia;Junio;180
Galicia;Grecia;Julio;298
Galicia;Grecia;Agosto;176
Galicia;Grecia;Septiembre;548
Galicia;Grecia;Octubre;136
Galicia;Grecia;Noviembre;27
Galicia;Grecia;Diciembre;25
Galicia;Irlanda;Enero;70
Galicia;Irlanda;Febrero;235
Galicia;Irlanda;Marzo;379
Galicia;Irlanda;Abril;638
Galicia;Irlanda;Mayo;3.213
Galicia;Irlanda;Junio;2.686
Galicia;Irlanda;Julio;2.525
Galicia;Irlanda;Agosto;2.223
Galicia;Irlanda;Septiembre;3.343
Galicia;Irlanda;Octubre;1.352
Galicia;Irlanda;Noviembre;301
Galicia;Irlanda;Diciembre;124
Galicia;Italia;Enero;1.535
Galicia;Italia;Febrero;1.386
Galicia;Italia;Marzo;1.662
Galicia;Italia;Abril;4.383
Galicia;Italia;Mayo;8.405
Galicia;Italia;Junio;8.300
Galicia;Italia;Julio;11.757
Galicia;Italia;Agosto;24.439
Galicia;Italia;Septiembre;8.862
Galicia;Italia;Octubre;8.579
