Comunidades autónomas;País de residencia;Meses;Total
Galicia;Total;Enero;109.080
Galicia;Total;Febrero;127.059
Galicia;Total;Marzo;151.786
Galicia;Total;Abril;198.013
Galicia;Total;Mayo;185.905
Galicia;Total;Junio;217.519
Galicia;Total;Julio;304.294
Galicia;Total;Agosto;430.212
Galicia;Total;Setiembre;286.867
Galicia;Total;Octubre;224.768
Galicia;Total;Noviembre;154.949
Galicia;Total;Diciembre;137.984
Galicia;Residentes en España;Enero;98.445
Galicia;Residentes en España;Febrero;114.555
Galicia;Residentes en España;Marzo;129.654
Galicia;Residentes en España;Abril;165.329
Galicia;Residentes en España;Mayo;148.324
Galicia;Residentes en España;Junio;171.872
Galicia;Residentes en España;Julio;242.160
Galicia;Residentes en España;Agosto;357.343
Galicia;Residentes en España;Setiembre;223.686
Galicia;Residentes en España;Octubre;182.174
Galicia;Residentes en España;Noviembre;133.746
Galicia;Residentes en España;Diciembre;111.547
Galicia;No residentes en España;Enero;10.635
Galicia;No residentes en España;Febrero;12.504
Galicia;No residentes en España;Marzo;22.132
Galicia;No residentes en España;Abril;32.683
Galicia;No residentes en España;Mayo;37.581
Galicia;No residentes en España;Junio;45.647
Galicia;No residentes en España;Julio;62.133
Galicia;No residentes en España;Agosto;72.870
Galicia;No residentes en España;Setiembre;63.181
Galicia;No residentes en España;Octubre;42.594
Galicia;No residentes en España;Noviembre;21.204
Galicia;No residentes en España;Diciembre;26.437
Galicia;Alemania;Enero;439
Galicia;Alemania;Febrero;1.078
Galicia;Alemania;Marzo;1.495
Galicia;Alemania;Abril;2.143
Galicia;Alemania;Mayo;6.007
Galicia;Alemania;Junio;5.476
Galicia;Alemania;Julio;5.506
Galicia;Alemania;Agosto;5.611
Galicia;Alemania;Setiembre;5.268
Galicia;Alemania;Octubre;4.128
Galicia;Alemania;Noviembre;873
Galicia;Alemania;Diciembre;526
Galicia;Austria;Enero;37
Galicia;Austria;Febrero;54
Galicia;Austria;Marzo;72
Galicia;Austria;Abril;204
Galicia;Austria;Mayo;794
Galicia;Austria;Junio;379
Galicia;Austria;Julio;408
Galicia;Austria;Agosto;584
Galicia;Austria;Setiembre;457
Galicia;Austria;Octubre;246
Galicia;Austria;Noviembre;300
Galicia;Austria;Diciembre;27
Galicia;Bélgica;Enero;179
Galicia;Bélgica;Febrero;125
Galicia;Bélgica;Marzo;71
Galicia;Bélgica;Abril;416
Galicia;Bélgica;Mayo;859
Galicia;Bélgica;Junio;1.423
Galicia;Bélgica;Julio;2.326
Galicia;Bélgica;Agosto;1.258
Galicia;Bélgica;Setiembre;1.322
Galicia;Bélgica;Octubre;357
