Comunidades autónomas;País de residencia;Meses;Total
Galicia;Total;Enero;173.085
Galicia;Total;Febrero;184.829
Galicia;Total;Marzo;223.164
Galicia;Total;Abril;317.080
Galicia;Total;Mayo;301.550
Galicia;Total;Junio;337.023
Galicia;Total;Julio;436.045
Galicia;Total;Agosto;537.823
Galicia;Total;Septiembre;368.279
Galicia;Total;Octubre;308.137
Galicia;Total;Noviembre;217.297
Galicia;Total;Diciembre;194.910
Galicia;Españoles;Enero;148.675
Galicia;Españoles;Febrero;157.591
Galicia;Españoles;Marzo;194.813
Galicia;Españoles;Abril;260.980
Galicia;Españoles;Mayo;231.881
Galicia;Españoles;Junio;264.688
Galicia;Españoles;Julio;356.589
Galicia;Españoles;Agosto;442.343
Galicia;Españoles;Septiembre;286.742
Galicia;Españoles;Octubre;246.768
Galicia;Españoles;Noviembre;188.688
Galicia;Españoles;Diciembre;165.020
Galicia;Extranjeros;Enero;24.410
Galicia;Extranjeros;Febrero;27.239
Galicia;Extranjeros;Marzo;28.351
Galicia;Extranjeros;Abril;56.099
Galicia;Extranjeros;Mayo;69.669
Galicia;Extranjeros;Junio;72.335
Galicia;Extranjeros;Julio;79.455
Galicia;Extranjeros;Agosto;95.480
Galicia;Extranjeros;Septiembre;81.536
Galicia;Extranjeros;Octubre;61.369
Galicia;Extranjeros;Noviembre;28.609
Galicia;Extranjeros;Diciembre;29.890
Galicia;Unión Europea (sin España);Enero;18.044
Galicia;Unión Europea (sin España);Febrero;20.993
Galicia;Unión Europea (sin España);Marzo;21.473
Galicia;Unión Europea (sin España);Abril;43.859
Galicia;Unión Europea (sin España);Mayo;50.268
Galicia;Unión Europea (sin España);Junio;54.174
Galicia;Unión Europea (sin España);Julio;60.377
Galicia;Unión Europea (sin España);Agosto;80.916
Galicia;Unión Europea (sin España);Septiembre;64.336
Galicia;Unión Europea (sin España);Octubre;43.025
Galicia;Unión Europea (sin España);Noviembre;19.809
Galicia;Unión Europea (sin España);Diciembre;23.871
Galicia;Alemania;Enero;1.242
Galicia;Alemania;Febrero;1.676
Galicia;Alemania;Marzo;2.169
Galicia;Alemania;Abril;5.188
Galicia;Alemania;Mayo;9.564
Galicia;Alemania;Junio;9.993
Galicia;Alemania;Julio;7.757
Galicia;Alemania;Agosto;7.445
Galicia;Alemania;Septiembre;10.378
Galicia;Alemania;Octubre;5.509
Galicia;Alemania;Noviembre;1.990
Galicia;Alemania;Diciembre;1.141
Galicia;Austria;Enero;77
Galicia;Austria;Febrero;87
Galicia;Austria;Marzo;146
Galicia;Austria;Abril;1.355
Galicia;Austria;Mayo;681
Galicia;Austria;Junio;906
Galicia;Austria;Julio;732
Galicia;Austria;Agosto;1.126
Galicia;Austria;Septiembre;873
Galicia;Austria;Octubre;471
Galicia;Austria;Noviembre;144
Galicia;Austria;Diciembre;57
Galicia;Bélgica;Enero;151
Galicia;Bélgica;Febrero;294
Galicia;Bélgica;Marzo;341
Galicia;Bélgica;Abril;548
Galicia;Bélgica;Mayo;1.465
Galicia;Bélgica;Junio;1.418
Galicia;Bélgica;Julio;1.945
Galicia;Bélgica;Agosto;1.481
Galicia;Bélgica;Septiembre;1.804
Galicia;Bélgica;Octubre;1.660
Galicia;Bélgica;Noviembre;215
Galicia;Bélgica;Diciembre;185
Galicia;Dinamarca;Enero;125
Galicia;Dinamarca;Febrero;231
Galicia;Dinamarca;Marzo;134
Galicia;Dinamarca;Abril;519
Galicia;Dinamarca;Mayo;445
Galicia;Dinamarca;Junio;644
Galicia;Dinamarca;Julio;1.191
Galicia;Dinamarca;Agosto;632
Galicia;Dinamarca;Septiembre;455
Galicia;Dinamarca;Octubre;325
Galicia;Dinamarca;Noviembre;222
Galicia;Dinamarca;Diciembre;64
Galicia;Finlandia;Enero;155
Galicia;Finlandia;Febrero;32
Galicia;Finlandia;Marzo;75
Galicia;Finlandia;Abril;689
Galicia;Finlandia;Mayo;371
Galicia;Finlandia;Junio;395
Galicia;Finlandia;Julio;289
Galicia;Finlandia;Agosto;159
Galicia;Finlandia;Septiembre;278
Galicia;Finlandia;Octubre;73
Galicia;Finlandia;Noviembre;84
Galicia;Finlandia;Diciembre;..
Galicia;Francia;Enero;2.376
Galicia;Francia;Febrero;2.888
Galicia;Francia;Marzo;2.796
Galicia;Francia;Abril;4.352
Galicia;Francia;Mayo;8.031
Galicia;Francia;Junio;7.542
Galicia;Francia;Julio;8.162
Galicia;Francia;Agosto;9.736
Galicia;Francia;Septiembre;9.150
Galicia;Francia;Octubre;4.841
Galicia;Francia;Noviembre;2.964
Galicia;Francia;Diciembre;1.898
Galicia;Grecia;Enero;45
Galicia;Grecia;Febrero;40
Galicia;Grecia;Marzo;39
Galicia;Grecia;Abril;54
Galicia;Grecia;Mayo;177
Galicia;Grecia;Junio;182
Galicia;Grecia;Julio;120
Galicia;Grecia;Agosto;159
Galicia;Grecia;Septiembre;154
Galicia;Grecia;Octubre;87
Galicia;Grecia;Noviembre;128
Galicia;Grecia;Diciembre;52
Galicia;Irlanda;Enero;305
Galicia;Irlanda;Febrero;201
Galicia;Irlanda;Marzo;422
Galicia;Irlanda;Abril;909
Galicia;Irlanda;Mayo;915
Galicia;Irlanda;Junio;1.419
Galicia;Irlanda;Julio;1.333
Galicia;Irlanda;Agosto;1.216
Galicia;Irlanda;Septiembre;1.395
Galicia;Irlanda;Octubre;834
Galicia;Irlanda;Noviembre;439
Galicia;Irlanda;Diciembre;180
Galicia;Italia;Enero;2.022
Galicia;Italia;Febrero;1.463
Galicia;Italia;Marzo;2.836
Galicia;Italia;Abril;4.343
Galicia;Italia;Mayo;5.807
Galicia;Italia;Junio;5.925
Galicia;Italia;Julio;8.923
Galicia;Italia;Agosto;18.915
Galicia;Italia;Septiembre;7.308
Galicia;Italia;Octubre;5.302
Galicia;Italia;Noviembre;1.619
Galicia;Italia;Diciembre;1.486
Galicia;Luxemburgo;Enero;33
Galicia;Luxemburgo;Febrero;..
Galicia;Luxemburgo;Marzo;12
Galicia;Luxemburgo;Abril;53
Galicia;Luxemburgo;Mayo;70
Galicia;Luxemburgo;Junio;157
Galicia;Luxemburgo;Julio;65
Galicia;Luxemburgo;Agosto;420
Galicia;Luxemburgo;Septiembre;198
Galicia;Luxemburgo;Octubre;..
Galicia;Luxemburgo;Noviembre;..
Galicia;Luxemburgo;Diciembre;..
Galicia;Países Bajos;Enero;251
Galicia;Países Bajos;Febrero;159
Galicia;Países Bajos;Marzo;296
Galicia;Países Bajos;Abril;648
Galicia;Países Bajos;Mayo;1.388
Galicia;Países Bajos;Junio;1.962
Galicia;Países Bajos;Julio;1.767
Galicia;Países Bajos;Agosto;1.306
Galicia;Países Bajos;Septiembre;1.498
Galicia;Países Bajos;Octubre;683
Galicia;Países Bajos;Noviembre;474
Galicia;Países Bajos;Diciembre;231
Galicia;Polonia;Enero;161
Galicia;Polonia;Febrero;109
Galicia;Polonia;Marzo;111
Galicia;Polonia;Abril;267
Galicia;Polonia;Mayo;555
Galicia;Polonia;Junio;794
Galicia;Polonia;Julio;888
Galicia;Polonia;Agosto;673
