Comunidades autónomas;País de residencia;Meses;Total
Galicia;Polonia;Septiembre;647
Galicia;Polonia;Octubre;680
Galicia;Polonia;Noviembre;248
Galicia;Polonia;Diciembre;442
Galicia;Portugal;Enero;9.481
Galicia;Portugal;Febrero;12.122
Galicia;Portugal;Marzo;9.777
Galicia;Portugal;Abril;20.954
Galicia;Portugal;Mayo;14.418
Galicia;Portugal;Junio;16.421
Galicia;Portugal;Julio;21.180
Galicia;Portugal;Agosto;31.258
Galicia;Portugal;Septiembre;22.798
Galicia;Portugal;Octubre;16.606
Galicia;Portugal;Noviembre;8.799
Galicia;Portugal;Diciembre;17.038
Galicia;Reino Unido;Enero;1.200
Galicia;Reino Unido;Febrero;1.255
Galicia;Reino Unido;Marzo;1.982
Galicia;Reino Unido;Abril;2.939
Galicia;Reino Unido;Mayo;5.379
Galicia;Reino Unido;Junio;5.499
Galicia;Reino Unido;Julio;4.262
Galicia;Reino Unido;Agosto;5.284
Galicia;Reino Unido;Septiembre;6.737
Galicia;Reino Unido;Octubre;5.323
Galicia;Reino Unido;Noviembre;2.013
Galicia;Reino Unido;Diciembre;907
Galicia;República Checa;Enero;77
Galicia;República Checa;Febrero;67
Galicia;República Checa;Marzo;56
Galicia;República Checa;Abril;390
Galicia;República Checa;Mayo;267
Galicia;República Checa;Junio;100
Galicia;República Checa;Julio;183
Galicia;República Checa;Agosto;47
Galicia;República Checa;Septiembre;91
Galicia;República Checa;Octubre;80
Galicia;República Checa;Noviembre;39
Galicia;República Checa;Diciembre;21
Galicia;Suecia;Enero;192
Galicia;Suecia;Febrero;112
Galicia;Suecia;Marzo;95
Galicia;Suecia;Abril;436
Galicia;Suecia;Mayo;499
Galicia;Suecia;Junio;533
Galicia;Suecia;Julio;1.151
Galicia;Suecia;Agosto;487
Galicia;Suecia;Septiembre;307
Galicia;Suecia;Octubre;306
Galicia;Suecia;Noviembre;220
Galicia;Suecia;Diciembre;87
Galicia;Resto de la Unión Europea*;Enero;152
Galicia;Resto de la Unión Europea*;Febrero;253
Galicia;Resto de la Unión Europea*;Marzo;186
Galicia;Resto de la Unión Europea*;Abril;216
Galicia;Resto de la Unión Europea*;Mayo;234
Galicia;Resto de la Unión Europea*;Junio;285
Galicia;Resto de la Unión Europea*;Julio;429
Galicia;Resto de la Unión Europea*;Agosto;571
Galicia;Resto de la Unión Europea*;Septiembre;265
Galicia;Resto de la Unión Europea*;Octubre;243
Galicia;Resto de la Unión Europea*;Noviembre;205
Galicia;Resto de la Unión Europea*;Diciembre;67
Galicia;Noruega;Enero;347
Galicia;Noruega;Febrero;563
Galicia;Noruega;Marzo;487
Galicia;Noruega;Abril;527
Galicia;Noruega;Mayo;358
Galicia;Noruega;Junio;475
Galicia;Noruega;Julio;796
Galicia;Noruega;Agosto;506
Galicia;Noruega;Septiembre;636
Galicia;Noruega;Octubre;688
Galicia;Noruega;Noviembre;235
Galicia;Noruega;Diciembre;143
Galicia;Rusia;Enero;364
Galicia;Rusia;Febrero;85
Galicia;Rusia;Marzo;164
Galicia;Rusia;Abril;211
Galicia;Rusia;Mayo;258
Galicia;Rusia;Junio;167
Galicia;Rusia;Julio;502
Galicia;Rusia;Agosto;181
Galicia;Rusia;Septiembre;135
Galicia;Rusia;Octubre;124
Galicia;Rusia;Noviembre;220
Galicia;Rusia;Diciembre;84
Galicia;Suiza;Enero;287
Galicia;Suiza;Febrero;171
Galicia;Suiza;Marzo;315
Galicia;Suiza;Abril;528
Galicia;Suiza;Mayo;1.254
Galicia;Suiza;Junio;1.115
Galicia;Suiza;Julio;1.741
Galicia;Suiza;Agosto;1.032
Galicia;Suiza;Septiembre;1.123
Galicia;Suiza;Octubre;715
Galicia;Suiza;Noviembre;660
Galicia;Suiza;Diciembre;280
Galicia;Resto de Europa;Enero;288
Galicia;Resto de Europa;Febrero;393
Galicia;Resto de Europa;Marzo;414
Galicia;Resto de Europa;Abril;471
Galicia;Resto de Europa;Mayo;1.577
Galicia;Resto de Europa;Junio;825
Galicia;Resto de Europa;Julio;1.115
Galicia;Resto de Europa;Agosto;1.278
Galicia;Resto de Europa;Septiembre;1.052
Galicia;Resto de Europa;Octubre;967
Galicia;Resto de Europa;Noviembre;680
Galicia;Resto de Europa;Diciembre;339
Galicia;Estados Unidos;Enero;1.060
Galicia;Estados Unidos;Febrero;1.192
Galicia;Estados Unidos;Marzo;1.049
Galicia;Estados Unidos;Abril;2.296
Galicia;Estados Unidos;Mayo;3.345
Galicia;Estados Unidos;Junio;4.725
Galicia;Estados Unidos;Julio;3.738
Galicia;Estados Unidos;Agosto;2.093
Galicia;Estados Unidos;Septiembre;3.380
Galicia;Estados Unidos;Octubre;2.900
Galicia;Estados Unidos;Noviembre;2.017
Galicia;Estados Unidos;Diciembre;609
Galicia;Resto de América;Enero;2.607
Galicia;Resto de América;Febrero;2.587
Galicia;Resto de América;Marzo;2.648
Galicia;Resto de América;Abril;4.694
Galicia;Resto de América;Mayo;7.903
Galicia;Resto de América;Junio;5.853
Galicia;Resto de América;Julio;6.443
Galicia;Resto de América;Agosto;5.434
Galicia;Resto de América;Septiembre;7.056
Galicia;Resto de América;Octubre;7.029
Galicia;Resto de América;Noviembre;2.836
Galicia;Resto de América;Diciembre;2.179
Galicia;Países africanos;Enero;281
Galicia;Países africanos;Febrero;289
Galicia;Países africanos;Marzo;282
Galicia;Países africanos;Abril;276
Galicia;Países africanos;Mayo;627
Galicia;Países africanos;Junio;552
Galicia;Países africanos;Julio;334
Galicia;Países africanos;Agosto;179
Galicia;Países africanos;Septiembre;632
Galicia;Países africanos;Octubre;373
Galicia;Países africanos;Noviembre;348
Galicia;Países africanos;Diciembre;267
Galicia;Resto del mundo;Enero;1.132
Galicia;Resto del mundo;Febrero;967
Galicia;Resto del mundo;Marzo;1.520
Galicia;Resto del mundo;Abril;3.238
Galicia;Resto del mundo;Mayo;4.079
Galicia;Resto del mundo;Junio;4.449
Galicia;Resto del mundo;Julio;4.409
Galicia;Resto del mundo;Agosto;3.861
Galicia;Resto del mundo;Septiembre;3.186
Galicia;Resto del mundo;Octubre;5.548
Galicia;Resto del mundo;Noviembre;1.805
Galicia;Resto del mundo;Diciembre;2.118
