Comunidades autónomas;País de residencia;Meses;Total
Galicia;Total;Enero;177.452
Galicia;Total;Febrero;201.173
Galicia;Total;Marzo;268.667
Galicia;Total;Abril;262.492
Galicia;Total;Mayo;330.869
Galicia;Total;Junio;325.833
Galicia;Total;Julio;405.295
Galicia;Total;Agosto;511.162
Galicia;Total;Septiembre;352.205
Galicia;Total;Octubre;314.422
Galicia;Total;Noviembre;209.534
Galicia;Total;Diciembre;173.633
Galicia;Residentes en España;Enero;150.410
Galicia;Residentes en España;Febrero;171.467
Galicia;Residentes en España;Marzo;230.286
Galicia;Residentes en España;Abril;205.601
Galicia;Residentes en España;Mayo;244.517
Galicia;Residentes en España;Junio;246.229
Galicia;Residentes en España;Julio;324.767
Galicia;Residentes en España;Agosto;418.257
Galicia;Residentes en España;Septiembre;267.969
Galicia;Residentes en España;Octubre;251.234
Galicia;Residentes en España;Noviembre;179.452
Galicia;Residentes en España;Diciembre;149.259
Galicia;No residentes en España;Enero;27.043
Galicia;No residentes en España;Febrero;29.706
Galicia;No residentes en España;Marzo;38.381
Galicia;No residentes en España;Abril;56.891
Galicia;No residentes en España;Mayo;86.352
Galicia;No residentes en España;Junio;79.605
Galicia;No residentes en España;Julio;80.528
Galicia;No residentes en España;Agosto;92.906
Galicia;No residentes en España;Septiembre;84.236
Galicia;No residentes en España;Octubre;63.188
Galicia;No residentes en España;Noviembre;30.082
Galicia;No residentes en España;Diciembre;24.374
Galicia;Unión Europea (sin España);Enero;19.390
Galicia;Unión Europea (sin España);Febrero;23.116
Galicia;Unión Europea (sin España);Marzo;29.712
Galicia;Unión Europea (sin España);Abril;42.062
Galicia;Unión Europea (sin España);Mayo;66.689
Galicia;Unión Europea (sin España);Junio;61.356
Galicia;Unión Europea (sin España);Julio;60.081
Galicia;Unión Europea (sin España);Agosto;76.556
Galicia;Unión Europea (sin España);Septiembre;61.682
Galicia;Unión Europea (sin España);Octubre;46.186
Galicia;Unión Europea (sin España);Noviembre;21.278
Galicia;Unión Europea (sin España);Diciembre;18.394
Galicia;Alemania;Enero;1.131
Galicia;Alemania;Febrero;1.654
Galicia;Alemania;Marzo;2.609
Galicia;Alemania;Abril;6.876
Galicia;Alemania;Mayo;15.796
Galicia;Alemania;Junio;12.178
Galicia;Alemania;Julio;9.283
Galicia;Alemania;Agosto;7.755
Galicia;Alemania;Septiembre;12.255
Galicia;Alemania;Octubre;9.405
Galicia;Alemania;Noviembre;1.839
Galicia;Alemania;Diciembre;1.035
Galicia;Austria;Enero;134
Galicia;Austria;Febrero;121
Galicia;Austria;Marzo;518
Galicia;Austria;Abril;398
Galicia;Austria;Mayo;2.093
Galicia;Austria;Junio;1.245
Galicia;Austria;Julio;1.045
Galicia;Austria;Agosto;778
Galicia;Austria;Septiembre;1.053
Galicia;Austria;Octubre;1.502
Galicia;Austria;Noviembre;177
Galicia;Austria;Diciembre;97
Galicia;Bélgica;Enero;130
Galicia;Bélgica;Febrero;160
Galicia;Bélgica;Marzo;511
Galicia;Bélgica;Abril;611
Galicia;Bélgica;Mayo;1.032
Galicia;Bélgica;Junio;1.525
Galicia;Bélgica;Julio;1.830
Galicia;Bélgica;Agosto;1.346
Galicia;Bélgica;Septiembre;1.370
Galicia;Bélgica;Octubre;645
Galicia;Bélgica;Noviembre;367
Galicia;Bélgica;Diciembre;174
Galicia;Dinamarca;Enero;150
Galicia;Dinamarca;Febrero;291
Galicia;Dinamarca;Marzo;298
Galicia;Dinamarca;Abril;583
Galicia;Dinamarca;Mayo;989
Galicia;Dinamarca;Junio;1.353
Galicia;Dinamarca;Julio;760
Galicia;Dinamarca;Agosto;331
Galicia;Dinamarca;Septiembre;689
Galicia;Dinamarca;Octubre;1.029
Galicia;Dinamarca;Noviembre;123
Galicia;Dinamarca;Diciembre;94
Galicia;Finlandia;Enero;540
Galicia;Finlandia;Febrero;115
Galicia;Finlandia;Marzo;198
Galicia;Finlandia;Abril;388
Galicia;Finlandia;Mayo;972
Galicia;Finlandia;Junio;642
Galicia;Finlandia;Julio;304
Galicia;Finlandia;Agosto;200
Galicia;Finlandia;Septiembre;376
Galicia;Finlandia;Octubre;340
Galicia;Finlandia;Noviembre;105
Galicia;Finlandia;Diciembre;88
Galicia;Francia;Enero;1.892
Galicia;Francia;Febrero;2.394
Galicia;Francia;Marzo;2.679
Galicia;Francia;Abril;5.257
Galicia;Francia;Mayo;7.898
Galicia;Francia;Junio;7.228
Galicia;Francia;Julio;6.331
Galicia;Francia;Agosto;8.106
Galicia;Francia;Septiembre;7.826
Galicia;Francia;Octubre;4.967
Galicia;Francia;Noviembre;2.040
Galicia;Francia;Diciembre;1.204
Galicia;Grecia;Enero;36
