Comunidades autónomas;País de residencia;Meses;Total
Galicia;Total;Enero;152.215
Galicia;Total;Febrero;172.693
Galicia;Total;Marzo;201.440
Galicia;Total;Abril;261.619
Galicia;Total;Mayo;296.292
Galicia;Total;Junio;316.161
Galicia;Total;Julio;405.787
Galicia;Total;Agosto;525.735
Galicia;Total;Septiembre;365.607
Galicia;Total;Octubre;324.035
Galicia;Total;Noviembre;198.713
Galicia;Total;Diciembre;179.159
Galicia;Residentes en España;Enero;131.600
Galicia;Residentes en España;Febrero;147.568
Galicia;Residentes en España;Marzo;174.744
Galicia;Residentes en España;Abril;214.435
Galicia;Residentes en España;Mayo;221.102
Galicia;Residentes en España;Junio;239.428
Galicia;Residentes en España;Julio;327.882
Galicia;Residentes en España;Agosto;436.526
Galicia;Residentes en España;Septiembre;282.148
Galicia;Residentes en España;Octubre;254.540
Galicia;Residentes en España;Noviembre;171.658
Galicia;Residentes en España;Diciembre;155.555
Galicia;No residentes en España;Enero;20.615
Galicia;No residentes en España;Febrero;25.126
Galicia;No residentes en España;Marzo;26.695
Galicia;No residentes en España;Abril;47.184
Galicia;No residentes en España;Mayo;75.190
Galicia;No residentes en España;Junio;76.733
Galicia;No residentes en España;Julio;77.905
Galicia;No residentes en España;Agosto;89.208
Galicia;No residentes en España;Septiembre;83.460
Galicia;No residentes en España;Octubre;69.495
Galicia;No residentes en España;Noviembre;27.055
Galicia;No residentes en España;Diciembre;23.604
Galicia;Unión Europea (sin España);Enero;14.583
Galicia;Unión Europea (sin España);Febrero;18.251
Galicia;Unión Europea (sin España);Marzo;19.517
Galicia;Unión Europea (sin España);Abril;36.377
Galicia;Unión Europea (sin España);Mayo;58.725
Galicia;Unión Europea (sin España);Junio;59.272
Galicia;Unión Europea (sin España);Julio;58.335
Galicia;Unión Europea (sin España);Agosto;74.065
Galicia;Unión Europea (sin España);Septiembre;62.947
Galicia;Unión Europea (sin España);Octubre;51.511
Galicia;Unión Europea (sin España);Noviembre;18.786
Galicia;Unión Europea (sin España);Diciembre;16.130
Galicia;Alemania;Enero;1.343
Galicia;Alemania;Febrero;1.076
Galicia;Alemania;Marzo;1.797
Galicia;Alemania;Abril;6.900
Galicia;Alemania;Mayo;16.496
Galicia;Alemania;Junio;12.281
Galicia;Alemania;Julio;8.174
Galicia;Alemania;Agosto;7.804
Galicia;Alemania;Septiembre;13.788
Galicia;Alemania;Octubre;9.550
Galicia;Alemania;Noviembre;2.056
Galicia;Alemania;Diciembre;570
Galicia;Austria;Enero;95
Galicia;Austria;Febrero;160
Galicia;Austria;Marzo;110
Galicia;Austria;Abril;519
Galicia;Austria;Mayo;1.434
Galicia;Austria;Junio;1.356
Galicia;Austria;Julio;987
Galicia;Austria;Agosto;809
Galicia;Austria;Septiembre;1.292
Galicia;Austria;Octubre;1.075
Galicia;Austria;Noviembre;102
Galicia;Austria;Diciembre;84
Galicia;Bélgica;Enero;229
Galicia;Bélgica;Febrero;169
Galicia;Bélgica;Marzo;284
Galicia;Bélgica;Abril;538
Galicia;Bélgica;Mayo;1.061
Galicia;Bélgica;Junio;1.886
Galicia;Bélgica;Julio;2.123
Galicia;Bélgica;Agosto;1.225
Galicia;Bélgica;Septiembre;1.581
Galicia;Bélgica;Octubre;1.734
Galicia;Bélgica;Noviembre;343
Galicia;Bélgica;Diciembre;335
Galicia;Dinamarca;Enero;137
Galicia;Dinamarca;Febrero;151
Galicia;Dinamarca;Marzo;137
Galicia;Dinamarca;Abril;438
Galicia;Dinamarca;Mayo;1.105
Galicia;Dinamarca;Junio;637
Galicia;Dinamarca;Julio;1.030
Galicia;Dinamarca;Agosto;562
Galicia;Dinamarca;Septiembre;1.042
Galicia;Dinamarca;Octubre;694
Galicia;Dinamarca;Noviembre;187
Galicia;Dinamarca;Diciembre;52
Galicia;Finlandia;Enero;127
Galicia;Finlandia;Febrero;154
Galicia;Finlandia;Marzo;238
Galicia;Finlandia;Abril;758
Galicia;Finlandia;Mayo;993
Galicia;Finlandia;Junio;1.133
Galicia;Finlandia;Julio;539
Galicia;Finlandia;Agosto;454
Galicia;Finlandia;Septiembre;880
Galicia;Finlandia;Octubre;594
Galicia;Finlandia;Noviembre;307
Galicia;Finlandia;Diciembre;212
Galicia;Francia;Enero;1.360
Galicia;Francia;Febrero;1.517
Galicia;Francia;Marzo;1.684
Galicia;Francia;Abril;3.521
Galicia;Francia;Mayo;7.884
Galicia;Francia;Junio;6.794
Galicia;Francia;Julio;6.586
Galicia;Francia;Agosto;9.897
Galicia;Francia;Septiembre;8.962
Galicia;Francia;Octubre;6.270
Galicia;Francia;Noviembre;2.078
Galicia;Francia;Diciembre;1.245
Galicia;Grecia;Enero;64
Galicia;Grecia;Febrero;71
Galicia;Grecia;Marzo;23
Galicia;Grecia;Abril;142
Galicia;Grecia;Mayo;85
Galicia;Grecia;Junio;316
Galicia;Grecia;Julio;206
Galicia;Grecia;Agosto;269
Galicia;Grecia;Septiembre;303
Galicia;Grecia;Octubre;366
Galicia;Grecia;Noviembre;110
