Comunidades y ciudades autónomas;País de residencia;Meses;Total
Galicia;Italia;Enero;1.282
Galicia;Italia;Febrero;1.584
Galicia;Italia;Marzo;1.989
Galicia;Italia;Abril;8.362
Galicia;Italia;Mayo;14.587
Galicia;Italia;Junio;16.015
Galicia;Italia;Julio;18.877
Galicia;Italia;Agosto;40.545
Galicia;Italia;Septiembre;17.389
Galicia;Italia;Octubre;9.597
Galicia;Italia;Noviembre;2.504
Galicia;Italia;Diciembre;1.643
Galicia;Luxemburgo;Enero;14
Galicia;Luxemburgo;Febrero;..
Galicia;Luxemburgo;Marzo;..
Galicia;Luxemburgo;Abril;254
Galicia;Luxemburgo;Mayo;190
Galicia;Luxemburgo;Junio;311
Galicia;Luxemburgo;Julio;226
Galicia;Luxemburgo;Agosto;331
Galicia;Luxemburgo;Septiembre;248
Galicia;Luxemburgo;Octubre;111
Galicia;Luxemburgo;Noviembre;25
Galicia;Luxemburgo;Diciembre;80
Galicia;Países Bajos;Enero;294
Galicia;Países Bajos;Febrero;419
Galicia;Países Bajos;Marzo;570
Galicia;Países Bajos;Abril;1.773
Galicia;Países Bajos;Mayo;4.731
Galicia;Países Bajos;Junio;5.765
Galicia;Países Bajos;Julio;5.039
Galicia;Países Bajos;Agosto;3.709
Galicia;Países Bajos;Septiembre;4.815
Galicia;Países Bajos;Octubre;2.992
Galicia;Países Bajos;Noviembre;1.000
Galicia;Países Bajos;Diciembre;596
Galicia;Polonia;Enero;392
Galicia;Polonia;Febrero;181
Galicia;Polonia;Marzo;727
Galicia;Polonia;Abril;1.830
Galicia;Polonia;Mayo;2.678
Galicia;Polonia;Junio;2.299
Galicia;Polonia;Julio;3.383
Galicia;Polonia;Agosto;3.239
Galicia;Polonia;Septiembre;3.797
Galicia;Polonia;Octubre;2.034
Galicia;Polonia;Noviembre;267
Galicia;Polonia;Diciembre;133
Galicia;Portugal;Enero;5.468
Galicia;Portugal;Febrero;8.273
Galicia;Portugal;Marzo;10.984
Galicia;Portugal;Abril;12.086
Galicia;Portugal;Mayo;14.908
Galicia;Portugal;Junio;17.134
Galicia;Portugal;Julio;18.063
Galicia;Portugal;Agosto;26.658
Galicia;Portugal;Septiembre;18.834
Galicia;Portugal;Octubre;14.314
Galicia;Portugal;Noviembre;6.069
Galicia;Portugal;Diciembre;9.218
Galicia;Reino Unido;Enero;772
Galicia;Reino Unido;Febrero;1.118
Galicia;Reino Unido;Marzo;1.493
Galicia;Reino Unido;Abril;4.507
Galicia;Reino Unido;Mayo;9.364
Galicia;Reino Unido;Junio;9.430
Galicia;Reino Unido;Julio;8.642
Galicia;Reino Unido;Agosto;8.427
Galicia;Reino Unido;Septiembre;11.731
Galicia;Reino Unido;Octubre;5.766
Galicia;Reino Unido;Noviembre;1.571
Galicia;Reino Unido;Diciembre;762
Galicia;República Checa;Enero;135
Galicia;República Checa;Febrero;65
Galicia;República Checa;Marzo;12
Galicia;República Checa;Abril;262
Galicia;República Checa;Mayo;460
Galicia;República Checa;Junio;591
Galicia;República Checa;Julio;672
Galicia;República Checa;Agosto;340
Galicia;República Checa;Septiembre;540
Galicia;República Checa;Octubre;234
Galicia;República Checa;Noviembre;150
Galicia;República Checa;Diciembre;58
Galicia;Suecia;Enero;55
Galicia;Suecia;Febrero;106
Galicia;Suecia;Marzo;173
Galicia;Suecia;Abril;743
Galicia;Suecia;Mayo;1.337
Galicia;Suecia;Junio;1.452
Galicia;Suecia;Julio;1.623
Galicia;Suecia;Agosto;717
Galicia;Suecia;Septiembre;1.419
Galicia;Suecia;Octubre;799
Galicia;Suecia;Noviembre;286
Galicia;Suecia;Diciembre;94
Galicia;Noruega;Enero;163
Galicia;Noruega;Febrero;88
Galicia;Noruega;Marzo;249
Galicia;Noruega;Abril;421
Galicia;Noruega;Mayo;932
Galicia;Noruega;Junio;1.528
Galicia;Noruega;Julio;1.557
Galicia;Noruega;Agosto;892
Galicia;Noruega;Septiembre;1.842
Galicia;Noruega;Octubre;971
Galicia;Noruega;Noviembre;268
Galicia;Noruega;Diciembre;69
Galicia;Rusia;Enero;288
Galicia;Rusia;Febrero;103
Galicia;Rusia;Marzo;356
Galicia;Rusia;Abril;329
Galicia;Rusia;Mayo;1.237
Galicia;Rusia;Junio;1.118
Galicia;Rusia;Julio;1.318
Galicia;Rusia;Agosto;1.399
Galicia;Rusia;Septiembre;810
Galicia;Rusia;Octubre;547
Galicia;Rusia;Noviembre;462
Galicia;Rusia;Diciembre;2.007
Galicia;Suiza;Enero;188
Galicia;Suiza;Febrero;539
Galicia;Suiza;Marzo;933
Galicia;Suiza;Abril;2.319
Galicia;Suiza;Mayo;3.350
Galicia;Suiza;Junio;2.911
Galicia;Suiza;Julio;3.898
Galicia;Suiza;Agosto;2.794
Galicia;Suiza;Septiembre;2.730
Galicia;Suiza;Octubre;2.052
Galicia;Suiza;Noviembre;752
Galicia;Suiza;Diciembre;469
Galicia;Resto de Europa sin U.E.;Enero;742
Galicia;Resto de Europa sin U.E.;Febrero;683
Galicia;Resto de Europa sin U.E.;Marzo;748
Galicia;Resto de Europa sin U.E.;Abril;1.123
Galicia;Resto de Europa sin U.E.;Mayo;2.270
Galicia;Resto de Europa sin U.E.;Junio;2.727
Galicia;Resto de Europa sin U.E.;Julio;1.839
Galicia;Resto de Europa sin U.E.;Agosto;1.878
Galicia;Resto de Europa sin U.E.;Septiembre;2.418
Galicia;Resto de Europa sin U.E.;Octubre;1.671
Galicia;Resto de Europa sin U.E.;Noviembre;668
Galicia;Resto de Europa sin U.E.;Diciembre;889
Galicia;Japón;Enero;372
Galicia;Japón;Febrero;246
Galicia;Japón;Marzo;533
Galicia;Japón;Abril;1.278
Galicia;Japón;Mayo;2.210
Galicia;Japón;Junio;2.677
Galicia;Japón;Julio;1.658
Galicia;Japón;Agosto;2.051
Galicia;Japón;Septiembre;1.842
Galicia;Japón;Octubre;2.036
Galicia;Japón;Noviembre;932
Galicia;Japón;Diciembre;540
Galicia;Estados Unidos;Enero;607
Galicia;Estados Unidos;Febrero;591
Galicia;Estados Unidos;Marzo;1.934
Galicia;Estados Unidos;Abril;5.284
Galicia;Estados Unidos;Mayo;13.337
Galicia;Estados Unidos;Junio;18.144
Galicia;Estados Unidos;Julio;14.396
Galicia;Estados Unidos;Agosto;7.489
Galicia;Estados Unidos;Septiembre;14.050
Galicia;Estados Unidos;Octubre;13.985
Galicia;Estados Unidos;Noviembre;3.926
Galicia;Estados Unidos;Diciembre;1.280
Galicia;Resto de América;Enero;3.213
Galicia;Resto de América;Febrero;2.335
Galicia;Resto de América;Marzo;4.030
Galicia;Resto de América;Abril;8.141
Galicia;Resto de América;Mayo;15.049
Galicia;Resto de América;Junio;16.480
Galicia;Resto de América;Julio;13.741
Galicia;Resto de América;Agosto;12.289
Galicia;Resto de América;Septiembre;16.794
Galicia;Resto de América;Octubre;14.781
Galicia;Resto de América;Noviembre;5.178
Galicia;Resto de América;Diciembre;4.043
Galicia;Países africanos;Enero;265
Galicia;Países africanos;Febrero;224
Galicia;Países africanos;Marzo;157
Galicia;Países africanos;Abril;493
Galicia;Países africanos;Mayo;740
Galicia;Países africanos;Junio;1.054
Galicia;Países africanos;Julio;648
Galicia;Países africanos;Agosto;371
Galicia;Países africanos;Septiembre;1.103
Galicia;Países africanos;Octubre;387
Galicia;Países africanos;Noviembre;442
Galicia;Países africanos;Diciembre;200
