Comunidades autónomas;País de residencia;Meses;Total
Galicia;Total;Enero;137.871
Galicia;Total;Febrero;139.395
Galicia;Total;Marzo;180.307
Galicia;Total;Abril;224.575
Galicia;Total;Mayo;248.741
Galicia;Total;Junio;278.545
Galicia;Total;Julio;356.909
Galicia;Total;Agosto;514.028
Galicia;Total;Septiembre;359.072
Galicia;Total;Octubre;258.606
Galicia;Total;Noviembre;186.815
Galicia;Total;Diciembre;166.523
Galicia;Residentes en España;Enero;122.462
Galicia;Residentes en España;Febrero;123.509
Galicia;Residentes en España;Marzo;155.501
Galicia;Residentes en España;Abril;182.461
Galicia;Residentes en España;Mayo;195.477
Galicia;Residentes en España;Junio;220.996
Galicia;Residentes en España;Julio;294.373
Galicia;Residentes en España;Agosto;425.793
Galicia;Residentes en España;Septiembre;284.889
Galicia;Residentes en España;Octubre;212.470
Galicia;Residentes en España;Noviembre;158.651
Galicia;Residentes en España;Diciembre;142.905
Galicia;No residentes en España;Enero;15.409
Galicia;No residentes en España;Febrero;15.886
Galicia;No residentes en España;Marzo;24.806
Galicia;No residentes en España;Abril;42.114
Galicia;No residentes en España;Mayo;53.264
Galicia;No residentes en España;Junio;57.548
Galicia;No residentes en España;Julio;62.536
Galicia;No residentes en España;Agosto;88.235
Galicia;No residentes en España;Septiembre;74.183
Galicia;No residentes en España;Octubre;46.137
Galicia;No residentes en España;Noviembre;28.164
Galicia;No residentes en España;Diciembre;23.618
Galicia;Alemania;Enero;670
Galicia;Alemania;Febrero;714
Galicia;Alemania;Marzo;1.387
Galicia;Alemania;Abril;4.762
Galicia;Alemania;Mayo;6.322
Galicia;Alemania;Junio;6.992
Galicia;Alemania;Julio;5.759
Galicia;Alemania;Agosto;7.009
Galicia;Alemania;Septiembre;7.046
Galicia;Alemania;Octubre;4.581
Galicia;Alemania;Noviembre;1.076
Galicia;Alemania;Diciembre;650
Galicia;Austria;Enero;35
Galicia;Austria;Febrero;56
Galicia;Austria;Marzo;68
Galicia;Austria;Abril;398
Galicia;Austria;Mayo;701
Galicia;Austria;Junio;942
Galicia;Austria;Julio;529
Galicia;Austria;Agosto;643
Galicia;Austria;Septiembre;1.435
Galicia;Austria;Octubre;376
Galicia;Austria;Noviembre;131
Galicia;Austria;Diciembre;28
Galicia;Bélgica;Enero;145
Galicia;Bélgica;Febrero;173
Galicia;Bélgica;Marzo;661
Galicia;Bélgica;Abril;464
Galicia;Bélgica;Mayo;544
Galicia;Bélgica;Junio;1.402
Galicia;Bélgica;Julio;1.725
Galicia;Bélgica;Agosto;1.726
Galicia;Bélgica;Septiembre;1.962
Galicia;Bélgica;Octubre;813
Galicia;Bélgica;Noviembre;1.654
Galicia;Bélgica;Diciembre;265
Galicia;Dinamarca;Enero;96
Galicia;Dinamarca;Febrero;95
Galicia;Dinamarca;Marzo;193
Galicia;Dinamarca;Abril;200
Galicia;Dinamarca;Mayo;130
Galicia;Dinamarca;Junio;293
Galicia;Dinamarca;Julio;444
Galicia;Dinamarca;Agosto;412
Galicia;Dinamarca;Septiembre;409
Galicia;Dinamarca;Octubre;266
Galicia;Dinamarca;Noviembre;109
Galicia;Dinamarca;Diciembre;65
Galicia;Finlandia;Enero;18
Galicia;Finlandia;Febrero;35
Galicia;Finlandia;Marzo;83
Galicia;Finlandia;Abril;126
Galicia;Finlandia;Mayo;240
Galicia;Finlandia;Junio;271
Galicia;Finlandia;Julio;180
Galicia;Finlandia;Agosto;97
Galicia;Finlandia;Septiembre;251
Galicia;Finlandia;Octubre;271
Galicia;Finlandia;Noviembre;125
Galicia;Finlandia;Diciembre;40
Galicia;Francia;Enero;1.599
Galicia;Francia;Febrero;1.541
Galicia;Francia;Marzo;2.159
Galicia;Francia;Abril;3.185
Galicia;Francia;Mayo;8.442
Galicia;Francia;Junio;7.547
Galicia;Francia;Julio;6.475
Galicia;Francia;Agosto;8.132
Galicia;Francia;Septiembre;6.959
Galicia;Francia;Octubre;4.272
Galicia;Francia;Noviembre;1.956
Galicia;Francia;Diciembre;1.158
Galicia;Grecia;Enero;127
Galicia;Grecia;Febrero;38
Galicia;Grecia;Marzo;53
Galicia;Grecia;Abril;95
Galicia;Grecia;Mayo;41
Galicia;Grecia;Junio;101
Galicia;Grecia;Julio;144
Galicia;Grecia;Agosto;126
Galicia;Grecia;Septiembre;273
Galicia;Grecia;Octubre;136
Galicia;Grecia;Noviembre;205
Galicia;Grecia;Diciembre;36
Galicia;Países Bajos;Enero;166
Galicia;Países Bajos;Febrero;225
Galicia;Países Bajos;Marzo;225
Galicia;Países Bajos;Abril;605
Galicia;Países Bajos;Mayo;739
Galicia;Países Bajos;Junio;1.633
Galicia;Países Bajos;Julio;1.896
Galicia;Países Bajos;Agosto;1.175
Galicia;Países Bajos;Septiembre;1.509
Galicia;Países Bajos;Octubre;712
Galicia;Países Bajos;Noviembre;477
Galicia;Países Bajos;Diciembre;96
Galicia;Irlanda;Enero;74
Galicia;Irlanda;Febrero;52
Galicia;Irlanda;Marzo;88
Galicia;Irlanda;Abril;109
Galicia;Irlanda;Mayo;286
Galicia;Irlanda;Junio;706
Galicia;Irlanda;Julio;672
Galicia;Irlanda;Agosto;625
Galicia;Irlanda;Septiembre;683
Galicia;Irlanda;Octubre;547
Galicia;Irlanda;Noviembre;101
Galicia;Irlanda;Diciembre;79
Galicia;Italia;Enero;739
Galicia;Italia;Febrero;1.284
Galicia;Italia;Marzo;856
Galicia;Italia;Abril;3.700
Galicia;Italia;Mayo;5.481
Galicia;Italia;Junio;3.541
Galicia;Italia;Julio;5.872
Galicia;Italia;Agosto;14.782
Galicia;Italia;Septiembre;5.513
