Comunidades autónomas;País de residencia;Meses;Total
Galicia;Total;Enero;108.183
Galicia;Total;Febrero;131.176
Galicia;Total;Marzo;191.192
Galicia;Total;Abril;184.244
Galicia;Total;Mayo;205.784
Galicia;Total;Junio;230.917
Galicia;Total;Julio;308.475
Galicia;Total;Agosto;456.479
Galicia;Total;Setiembre;269.226
Galicia;Total;Octubre;223.860
Galicia;Total;Noviembre;156.617
Galicia;Total;Diciembre;146.300
Galicia;Residentes en España;Enero;96.185
Galicia;Residentes en España;Febrero;113.314
Galicia;Residentes en España;Marzo;166.786
Galicia;Residentes en España;Abril;146.223
Galicia;Residentes en España;Mayo;157.533
Galicia;Residentes en España;Junio;177.250
Galicia;Residentes en España;Julio;251.747
Galicia;Residentes en España;Agosto;377.593
Galicia;Residentes en España;Setiembre;208.683
Galicia;Residentes en España;Octubre;183.697
Galicia;Residentes en España;Noviembre;136.043
Galicia;Residentes en España;Diciembre;123.353
Galicia;No residentes en España;Enero;11.998
Galicia;No residentes en España;Febrero;17.863
Galicia;No residentes en España;Marzo;24.406
Galicia;No residentes en España;Abril;38.022
Galicia;No residentes en España;Mayo;48.252
Galicia;No residentes en España;Junio;53.667
Galicia;No residentes en España;Julio;56.728
Galicia;No residentes en España;Agosto;78.887
Galicia;No residentes en España;Setiembre;60.543
Galicia;No residentes en España;Octubre;40.162
Galicia;No residentes en España;Noviembre;20.574
Galicia;No residentes en España;Diciembre;22.947
Galicia;Alemania;Enero;636
Galicia;Alemania;Febrero;691
Galicia;Alemania;Marzo;2.579
Galicia;Alemania;Abril;3.282
Galicia;Alemania;Mayo;5.878
Galicia;Alemania;Junio;5.717
Galicia;Alemania;Julio;4.846
Galicia;Alemania;Agosto;7.154
Galicia;Alemania;Setiembre;6.100
Galicia;Alemania;Octubre;4.685
Galicia;Alemania;Noviembre;1.261
Galicia;Alemania;Diciembre;538
Galicia;Austria;Enero;75
Galicia;Austria;Febrero;49
Galicia;Austria;Marzo;418
Galicia;Austria;Abril;589
Galicia;Austria;Mayo;540
Galicia;Austria;Junio;744
Galicia;Austria;Julio;372
Galicia;Austria;Agosto;1.044
Galicia;Austria;Setiembre;543
Galicia;Austria;Octubre;506
Galicia;Austria;Noviembre;181
Galicia;Austria;Diciembre;174
Galicia;Bélgica;Enero;104
Galicia;Bélgica;Febrero;174
Galicia;Bélgica;Marzo;154
Galicia;Bélgica;Abril;245
Galicia;Bélgica;Mayo;1.596
Galicia;Bélgica;Junio;1.334
Galicia;Bélgica;Julio;1.619
Galicia;Bélgica;Agosto;1.119
Galicia;Bélgica;Setiembre;2.302
Galicia;Bélgica;Octubre;302
Galicia;Bélgica;Noviembre;195
Galicia;Bélgica;Diciembre;191
Galicia;Dinamarca;Enero;54
Galicia;Dinamarca;Febrero;212
Galicia;Dinamarca;Marzo;150
Galicia;Dinamarca;Abril;215
Galicia;Dinamarca;Mayo;203
Galicia;Dinamarca;Junio;288
Galicia;Dinamarca;Julio;282
Galicia;Dinamarca;Agosto;335
Galicia;Dinamarca;Setiembre;295
Galicia;Dinamarca;Octubre;139
Galicia;Dinamarca;Noviembre;64
Galicia;Dinamarca;Diciembre;49
Galicia;Finlandia;Enero;32
Galicia;Finlandia;Febrero;29
Galicia;Finlandia;Marzo;131
Galicia;Finlandia;Abril;101
Galicia;Finlandia;Mayo;362
Galicia;Finlandia;Junio;211
Galicia;Finlandia;Julio;224
Galicia;Finlandia;Agosto;74
Galicia;Finlandia;Setiembre;85
Galicia;Finlandia;Octubre;50
Galicia;Finlandia;Noviembre;47
Galicia;Finlandia;Diciembre;22
Galicia;Francia;Enero;785
Galicia;Francia;Febrero;1.256
Galicia;Francia;Marzo;1.981
Galicia;Francia;Abril;4.493
Galicia;Francia;Mayo;5.584
Galicia;Francia;Junio;5.667
Galicia;Francia;Julio;6.877
Galicia;Francia;Agosto;7.040
Galicia;Francia;Setiembre;6.100
Galicia;Francia;Octubre;3.844
Galicia;Francia;Noviembre;2.057
Galicia;Francia;Diciembre;1.565
Galicia;Grecia;Enero;9
Galicia;Grecia;Febrero;41
Galicia;Grecia;Marzo;13
Galicia;Grecia;Abril;135
Galicia;Grecia;Mayo;150
Galicia;Grecia;Junio;194
Galicia;Grecia;Julio;104
Galicia;Grecia;Agosto;113
Galicia;Grecia;Setiembre;165
Galicia;Grecia;Octubre;66
Galicia;Grecia;Noviembre;69
Galicia;Grecia;Diciembre;54
Galicia;Países Bajos;Enero;63
Galicia;Países Bajos;Febrero;86
Galicia;Países Bajos;Marzo;188
Galicia;Países Bajos;Abril;360
Galicia;Países Bajos;Mayo;747
Galicia;Países Bajos;Junio;1.206
Galicia;Países Bajos;Julio;1.669
Galicia;Países Bajos;Agosto;1.244
Galicia;Países Bajos;Setiembre;750
Galicia;Países Bajos;Octubre;362
Galicia;Países Bajos;Noviembre;589
Galicia;Países Bajos;Diciembre;116
Galicia;Irlanda;Enero;35
Galicia;Irlanda;Febrero;68
Galicia;Irlanda;Marzo;196
Galicia;Irlanda;Abril;78
Galicia;Irlanda;Mayo;279
Galicia;Irlanda;Junio;877
Galicia;Irlanda;Julio;934
Galicia;Irlanda;Agosto;446
Galicia;Irlanda;Setiembre;502
Galicia;Irlanda;Octubre;207
Galicia;Irlanda;Noviembre;100
Galicia;Irlanda;Diciembre;84
Galicia;Italia;Enero;566
Galicia;Italia;Febrero;728
