Comunidades autónomas;País de residencia;Meses;Total
Galicia;Total;Enero;172.364
Galicia;Total;Febrero;183.873
Galicia;Total;Marzo;236.112
Galicia;Total;Abril;311.548
Galicia;Total;Mayo;302.965
Galicia;Total;Junio;345.944
Galicia;Total;Julio;436.462
Galicia;Total;Agosto;560.665
Galicia;Total;Septiembre;392.998
Galicia;Total;Octubre;353.104
Galicia;Total;Noviembre;241.326
Galicia;Total;Diciembre;202.162
Galicia;Residentes en España;Enero;150.174
Galicia;Residentes en España;Febrero;154.763
Galicia;Residentes en España;Marzo;202.108
Galicia;Residentes en España;Abril;252.003
Galicia;Residentes en España;Mayo;222.944
Galicia;Residentes en España;Junio;258.681
Galicia;Residentes en España;Julio;351.175
Galicia;Residentes en España;Agosto;457.726
Galicia;Residentes en España;Septiembre;303.405
Galicia;Residentes en España;Octubre;276.480
Galicia;Residentes en España;Noviembre;205.599
Galicia;Residentes en España;Diciembre;172.760
Galicia;No residentes en España;Enero;22.191
Galicia;No residentes en España;Febrero;29.110
Galicia;No residentes en España;Marzo;34.004
Galicia;No residentes en España;Abril;59.545
Galicia;No residentes en España;Mayo;80.021
Galicia;No residentes en España;Junio;87.262
Galicia;No residentes en España;Julio;85.287
Galicia;No residentes en España;Agosto;102.940
Galicia;No residentes en España;Septiembre;89.593
Galicia;No residentes en España;Octubre;76.623
Galicia;No residentes en España;Noviembre;35.728
Galicia;No residentes en España;Diciembre;29.402
Galicia;Unión Europea (sin España);Enero;16.739
Galicia;Unión Europea (sin España);Febrero;22.739
Galicia;Unión Europea (sin España);Marzo;25.508
Galicia;Unión Europea (sin España);Abril;47.149
Galicia;Unión Europea (sin España);Mayo;59.369
Galicia;Unión Europea (sin España);Junio;66.670
Galicia;Unión Europea (sin España);Julio;63.921
Galicia;Unión Europea (sin España);Agosto;85.628
Galicia;Unión Europea (sin España);Septiembre;67.821
Galicia;Unión Europea (sin España);Octubre;56.571
Galicia;Unión Europea (sin España);Noviembre;25.055
Galicia;Unión Europea (sin España);Diciembre;22.919
Galicia;Alemania;Enero;1.072
Galicia;Alemania;Febrero;1.883
Galicia;Alemania;Marzo;2.625
Galicia;Alemania;Abril;6.126
Galicia;Alemania;Mayo;13.504
Galicia;Alemania;Junio;12.771
Galicia;Alemania;Julio;8.327
Galicia;Alemania;Agosto;8.139
Galicia;Alemania;Septiembre;11.374
Galicia;Alemania;Octubre;7.550
Galicia;Alemania;Noviembre;2.137
Galicia;Alemania;Diciembre;1.251
Galicia;Austria;Enero;141
Galicia;Austria;Febrero;99
Galicia;Austria;Marzo;187
Galicia;Austria;Abril;943
Galicia;Austria;Mayo;1.323
Galicia;Austria;Junio;1.545
Galicia;Austria;Julio;760
Galicia;Austria;Agosto;1.161
Galicia;Austria;Septiembre;914
Galicia;Austria;Octubre;556
Galicia;Austria;Noviembre;123
Galicia;Austria;Diciembre;61
Galicia;Bélgica;Enero;203
Galicia;Bélgica;Febrero;331
Galicia;Bélgica;Marzo;260
Galicia;Bélgica;Abril;541
Galicia;Bélgica;Mayo;1.975
Galicia;Bélgica;Junio;1.608
Galicia;Bélgica;Julio;1.729
Galicia;Bélgica;Agosto;1.641
Galicia;Bélgica;Septiembre;1.757
Galicia;Bélgica;Octubre;709
Galicia;Bélgica;Noviembre;549
Galicia;Bélgica;Diciembre;195
Galicia;Dinamarca;Enero;81
Galicia;Dinamarca;Febrero;92
Galicia;Dinamarca;Marzo;141
Galicia;Dinamarca;Abril;364
Galicia;Dinamarca;Mayo;710
Galicia;Dinamarca;Junio;837
Galicia;Dinamarca;Julio;714
Galicia;Dinamarca;Agosto;653
Galicia;Dinamarca;Septiembre;1.192
Galicia;Dinamarca;Octubre;404
Galicia;Dinamarca;Noviembre;255
Galicia;Dinamarca;Diciembre;140
Galicia;Finlandia;Enero;116
Galicia;Finlandia;Febrero;88
Galicia;Finlandia;Marzo;136
Galicia;Finlandia;Abril;188
Galicia;Finlandia;Mayo;557
Galicia;Finlandia;Junio;838
Galicia;Finlandia;Julio;496
Galicia;Finlandia;Agosto;89
Galicia;Finlandia;Septiembre;269
Galicia;Finlandia;Octubre;524
Galicia;Finlandia;Noviembre;223
Galicia;Finlandia;Diciembre;44
Galicia;Francia;Enero;1.904
Galicia;Francia;Febrero;1.903
Galicia;Francia;Marzo;2.529
Galicia;Francia;Abril;5.935
Galicia;Francia;Mayo;8.401
Galicia;Francia;Junio;7.269
Galicia;Francia;Julio;8.155
Galicia;Francia;Agosto;9.604
Galicia;Francia;Septiembre;9.407
Galicia;Francia;Octubre;5.924
Galicia;Francia;Noviembre;2.806
Galicia;Francia;Diciembre;2.090
Galicia;Grecia;Enero;54
Galicia;Grecia;Febrero;70
Galicia;Grecia;Marzo;56
Galicia;Grecia;Abril;41
Galicia;Grecia;Mayo;132
Galicia;Grecia;Junio;239
Galicia;Grecia;Julio;242
Galicia;Grecia;Agosto;132
Galicia;Grecia;Septiembre;126
Galicia;Grecia;Octubre;76
Galicia;Grecia;Noviembre;35
Galicia;Grecia;Diciembre;92
Galicia;Irlanda;Enero;176
Galicia;Irlanda;Febrero;280
Galicia;Irlanda;Marzo;376
Galicia;Irlanda;Abril;1.770
Galicia;Irlanda;Mayo;2.072
Galicia;Irlanda;Junio;2.157
Galicia;Irlanda;Julio;1.798
Galicia;Irlanda;Agosto;2.166
Galicia;Irlanda;Septiembre;1.381
Galicia;Irlanda;Octubre;1.220
Galicia;Irlanda;Noviembre;162
Galicia;Irlanda;Diciembre;160
Galicia;Italia;Enero;1.418
Galicia;Italia;Febrero;1.531
Galicia;Italia;Marzo;1.989
Galicia;Italia;Abril;5.823
Galicia;Italia;Mayo;4.970
Galicia;Italia;Junio;7.637
Galicia;Italia;Julio;9.829
Galicia;Italia;Agosto;21.515
Galicia;Italia;Septiembre;7.328
Galicia;Italia;Octubre;6.426
Galicia;Italia;Noviembre;2.399
Galicia;Italia;Diciembre;1.416
Galicia;Luxemburgo;Enero;..
Galicia;Luxemburgo;Febrero;37
Galicia;Luxemburgo;Marzo;11
Galicia;Luxemburgo;Abril;72
Galicia;Luxemburgo;Mayo;36
Galicia;Luxemburgo;Junio;86
Galicia;Luxemburgo;Julio;122
Galicia;Luxemburgo;Agosto;173
Galicia;Luxemburgo;Septiembre;100
Galicia;Luxemburgo;Octubre;78
Galicia;Luxemburgo;Noviembre;155
Galicia;Luxemburgo;Diciembre;17
Galicia;Países Bajos;Enero;219
Galicia;Países Bajos;Febrero;349
Galicia;Países Bajos;Marzo;392
Galicia;Países Bajos;Abril;475
Galicia;Países Bajos;Mayo;1.986
Galicia;Países Bajos;Junio;1.486
Galicia;Países Bajos;Julio;1.296
Galicia;Países Bajos;Agosto;1.479
Galicia;Países Bajos;Septiembre;1.453
Galicia;Países Bajos;Octubre;1.049
Galicia;Países Bajos;Noviembre;391
Galicia;Países Bajos;Diciembre;239
Galicia;Polonia;Enero;286
Galicia;Polonia;Febrero;252
Galicia;Polonia;Marzo;193
Galicia;Polonia;Abril;1.067
Galicia;Polonia;Mayo;422
Galicia;Polonia;Junio;954
Galicia;Polonia;Julio;1.226
Galicia;Polonia;Agosto;373
Galicia;Polonia;Septiembre;1.670
Galicia;Polonia;Octubre;836
Galicia;Polonia;Noviembre;240
Galicia;Polonia;Diciembre;116
Galicia;Portugal;Enero;9.347
Galicia;Portugal;Febrero;13.087
Galicia;Portugal;Marzo;12.624
Galicia;Portugal;Abril;18.021
Galicia;Portugal;Mayo;14.247
Galicia;Portugal;Junio;19.477
Galicia;Portugal;Julio;20.617
Galicia;Portugal;Agosto;31.310
Galicia;Portugal;Septiembre;23.187
Galicia;Portugal;Octubre;25.055
Galicia;Portugal;Noviembre;13.022
Galicia;Portugal;Diciembre;15.693
Galicia;Reino Unido;Enero;1.299
Galicia;Reino Unido;Febrero;2.161
Galicia;Reino Unido;Marzo;3.350
Galicia;Reino Unido;Abril;4.859
Galicia;Reino Unido;Mayo;7.090
Galicia;Reino Unido;Junio;7.349
Galicia;Reino Unido;Julio;5.964
Galicia;Reino Unido;Agosto;5.534
Galicia;Reino Unido;Septiembre;6.385
Galicia;Reino Unido;Octubre;5.039
Galicia;Reino Unido;Noviembre;1.738
Galicia;Reino Unido;Diciembre;859
Galicia;República Checa;Enero;61
Galicia;República Checa;Febrero;21
Galicia;República Checa;Marzo;52
Galicia;República Checa;Abril;23
Galicia;República Checa;Mayo;341
Galicia;República Checa;Junio;452
Galicia;República Checa;Julio;149
Galicia;República Checa;Agosto;478
Galicia;República Checa;Septiembre;80
Galicia;República Checa;Octubre;113
Galicia;República Checa;Noviembre;123
Galicia;República Checa;Diciembre;299
Galicia;Suecia;Enero;116
Galicia;Suecia;Febrero;101
Galicia;Suecia;Marzo;225
Galicia;Suecia;Abril;494
Galicia;Suecia;Mayo;621
Galicia;Suecia;Junio;746
Galicia;Suecia;Julio;499
Galicia;Suecia;Agosto;393
Galicia;Suecia;Septiembre;659
Galicia;Suecia;Octubre;336
Galicia;Suecia;Noviembre;189
Galicia;Suecia;Diciembre;36
Galicia;Resto de la Unión Europea*;Enero;245
Galicia;Resto de la Unión Europea*;Febrero;455
Galicia;Resto de la Unión Europea*;Marzo;364
Galicia;Resto de la Unión Europea*;Abril;407
Galicia;Resto de la Unión Europea*;Mayo;981
Galicia;Resto de la Unión Europea*;Junio;1.220
Galicia;Resto de la Unión Europea*;Julio;1.996
Galicia;Resto de la Unión Europea*;Agosto;788
Galicia;Resto de la Unión Europea*;Septiembre;541
Galicia;Resto de la Unión Europea*;Octubre;675
Galicia;Resto de la Unión Europea*;Noviembre;507
Galicia;Resto de la Unión Europea*;Diciembre;213
Galicia;Noruega;Enero;303
Galicia;Noruega;Febrero;291
Galicia;Noruega;Marzo;598
Galicia;Noruega;Abril;523
Galicia;Noruega;Mayo;720
Galicia;Noruega;Junio;774
Galicia;Noruega;Julio;1.088
Galicia;Noruega;Agosto;340
Galicia;Noruega;Septiembre;807
Galicia;Noruega;Octubre;599
Galicia;Noruega;Noviembre;429
Galicia;Noruega;Diciembre;104
Galicia;Rusia;Enero;164
Galicia;Rusia;Febrero;386
