Comunidades autónomas;País de residencia;Meses;Total
Galicia;Italia;Setiembre;5.380
Galicia;Italia;Octubre;2.898
Galicia;Italia;Noviembre;1.384
Galicia;Italia;Diciembre;339
Galicia;Luxemburgo;Enero;.
Galicia;Luxemburgo;Febrero;12
Galicia;Luxemburgo;Marzo;65
Galicia;Luxemburgo;Abril;17
Galicia;Luxemburgo;Mayo;49
Galicia;Luxemburgo;Junio;56
Galicia;Luxemburgo;Julio;43
Galicia;Luxemburgo;Agosto;127
Galicia;Luxemburgo;Setiembre;26
Galicia;Luxemburgo;Octubre;128
Galicia;Luxemburgo;Noviembre;4
Galicia;Luxemburgo;Diciembre;9
Galicia;Portugal;Enero;4.545
Galicia;Portugal;Febrero;15.132
Galicia;Portugal;Marzo;7.803
Galicia;Portugal;Abril;11.540
Galicia;Portugal;Mayo;10.092
Galicia;Portugal;Junio;16.604
Galicia;Portugal;Julio;16.488
Galicia;Portugal;Agosto;25.081
Galicia;Portugal;Setiembre;17.010
Galicia;Portugal;Octubre;17.577
Galicia;Portugal;Noviembre;10.877
Galicia;Portugal;Diciembre;14.082
Galicia;Reino Unido;Enero;515
Galicia;Reino Unido;Febrero;672
Galicia;Reino Unido;Marzo;1.115
Galicia;Reino Unido;Abril;1.647
Galicia;Reino Unido;Mayo;2.262
Galicia;Reino Unido;Junio;3.180
Galicia;Reino Unido;Julio;3.810
Galicia;Reino Unido;Agosto;3.351
Galicia;Reino Unido;Setiembre;4.939
Galicia;Reino Unido;Octubre;1.756
Galicia;Reino Unido;Noviembre;857
Galicia;Reino Unido;Diciembre;360
Galicia;Suecia;Enero;62
Galicia;Suecia;Febrero;175
Galicia;Suecia;Marzo;178
Galicia;Suecia;Abril;242
Galicia;Suecia;Mayo;133
Galicia;Suecia;Junio;164
Galicia;Suecia;Julio;245
Galicia;Suecia;Agosto;270
Galicia;Suecia;Setiembre;196
Galicia;Suecia;Octubre;106
Galicia;Suecia;Noviembre;30
Galicia;Suecia;Diciembre;92
Galicia;Eslovaquia;Enero;13
Galicia;Eslovaquia;Febrero;12
Galicia;Eslovaquia;Marzo;13
Galicia;Eslovaquia;Abril;171
Galicia;Eslovaquia;Mayo;0
Galicia;Eslovaquia;Junio;17
Galicia;Eslovaquia;Julio;.
Galicia;Eslovaquia;Agosto;9
Galicia;Eslovaquia;Setiembre;89
Galicia;Eslovaquia;Octubre;71
Galicia;Eslovaquia;Noviembre;9
Galicia;Eslovaquia;Diciembre;.
Galicia;Hungría;Enero;.
Galicia;Hungría;Febrero;4
Galicia;Hungría;Marzo;13
Galicia;Hungría;Abril;4
Galicia;Hungría;Mayo;15
Galicia;Hungría;Junio;17
Galicia;Hungría;Julio;.
Galicia;Hungría;Agosto;14
Galicia;Hungría;Setiembre;18
Galicia;Hungría;Octubre;213
Galicia;Hungría;Noviembre;17
Galicia;Hungría;Diciembre;.
Galicia;Islandia;Enero;4
Galicia;Islandia;Febrero;8
Galicia;Islandia;Marzo;9
Galicia;Islandia;Abril;21
Galicia;Islandia;Mayo;18
Galicia;Islandia;Junio;.
Galicia;Islandia;Julio;30
Galicia;Islandia;Agosto;.
Galicia;Islandia;Setiembre;9
Galicia;Islandia;Octubre;.
Galicia;Islandia;Noviembre;17
Galicia;Islandia;Diciembre;.
Galicia;Noruega;Enero;101
Galicia;Noruega;Febrero;132
Galicia;Noruega;Marzo;257
Galicia;Noruega;Abril;401
Galicia;Noruega;Mayo;430
Galicia;Noruega;Junio;525
Galicia;Noruega;Julio;653
Galicia;Noruega;Agosto;167
Galicia;Noruega;Setiembre;165
Galicia;Noruega;Octubre;224
Galicia;Noruega;Noviembre;319
Galicia;Noruega;Diciembre;78
Galicia;Polonia;Enero;18
Galicia;Polonia;Febrero;18
Galicia;Polonia;Marzo;1.890
Galicia;Polonia;Abril;21
Galicia;Polonia;Mayo;677
Galicia;Polonia;Junio;447
Galicia;Polonia;Julio;261
