Comunidades y ciudades autónomas;País de residencia;Meses;Total
Galicia;Total;Enero;131.548
Galicia;Total;Febrero;158.105
Galicia;Total;Marzo;185.527
Galicia;Total;Abril;264.162
Galicia;Total;Mayo;274.675
Galicia;Total;Junio;314.766
Galicia;Total;Julio;382.199
Galicia;Total;Agosto;512.595
Galicia;Total;Septiembre;366.450
Galicia;Total;Octubre;292.194
Galicia;Total;Noviembre;178.517
Galicia;Total;Diciembre;155.608
Galicia;Residentes en España;Enero;113.860
Galicia;Residentes en España;Febrero;138.387
Galicia;Residentes en España;Marzo;156.904
Galicia;Residentes en España;Abril;206.239
Galicia;Residentes en España;Mayo;182.177
Galicia;Residentes en España;Junio;226.777
Galicia;Residentes en España;Julio;293.436
Galicia;Residentes en España;Agosto;398.558
Galicia;Residentes en España;Septiembre;252.680
Galicia;Residentes en España;Octubre;218.505
Galicia;Residentes en España;Noviembre;153.029
Galicia;Residentes en España;Diciembre;133.041
Galicia;No residentes en España;Enero;17.688
Galicia;No residentes en España;Febrero;19.718
Galicia;No residentes en España;Marzo;28.623
Galicia;No residentes en España;Abril;57.924
Galicia;No residentes en España;Mayo;92.498
Galicia;No residentes en España;Junio;87.989
Galicia;No residentes en España;Julio;88.763
Galicia;No residentes en España;Agosto;114.037
Galicia;No residentes en España;Septiembre;113.770
Galicia;No residentes en España;Octubre;73.689
Galicia;No residentes en España;Noviembre;25.488
Galicia;No residentes en España;Diciembre;22.566
Galicia;Unión Europea (sin España);Enero;11.439
Galicia;Unión Europea (sin España);Febrero;14.180
Galicia;Unión Europea (sin España);Marzo;19.706
Galicia;Unión Europea (sin España);Abril;42.301
Galicia;Unión Europea (sin España);Mayo;64.199
Galicia;Unión Europea (sin España);Junio;62.148
Galicia;Unión Europea (sin España);Julio;61.108
Galicia;Unión Europea (sin España);Agosto;90.311
Galicia;Unión Europea (sin España);Septiembre;77.712
Galicia;Unión Europea (sin España);Octubre;45.718
Galicia;Unión Europea (sin España);Noviembre;17.246
Galicia;Unión Europea (sin España);Diciembre;15.763
Galicia;Alemania;Enero;715
Galicia;Alemania;Febrero;1.018
