Comunidades y ciudades autónomas;País de residencia;Meses;Total
Galicia;Total;Enero;164.009
Galicia;Total;Febrero;181.676
Galicia;Total;Marzo;267.366
Galicia;Total;Abril;302.710
Galicia;Total;Mayo;382.717
Galicia;Total;Junio;426.307
Galicia;Total;Julio;508.165
Galicia;Total;Agosto;638.335
Galicia;Total;Septiembre;491.917
Galicia;Total;Octubre;384.469
Galicia;Total;Noviembre;237.145
Galicia;Total;Diciembre;221.861
Galicia;Residentes en España;Enero;138.288
Galicia;Residentes en España;Febrero;151.232
Galicia;Residentes en España;Marzo;218.929
Galicia;Residentes en España;Abril;218.486
Galicia;Residentes en España;Mayo;231.563
Galicia;Residentes en España;Junio;283.272
Galicia;Residentes en España;Julio;377.584
Galicia;Residentes en España;Agosto;483.188
Galicia;Residentes en España;Septiembre;320.345
Galicia;Residentes en España;Octubre;263.596
Galicia;Residentes en España;Noviembre;195.501
Galicia;Residentes en España;Diciembre;185.832
Galicia;No residentes en España;Enero;25.721
Galicia;No residentes en España;Febrero;30.444
Galicia;No residentes en España;Marzo;48.437
Galicia;No residentes en España;Abril;84.224
Galicia;No residentes en España;Mayo;151.154
Galicia;No residentes en España;Junio;143.035
Galicia;No residentes en España;Julio;130.582
Galicia;No residentes en España;Agosto;155.147
Galicia;No residentes en España;Septiembre;171.572
Galicia;No residentes en España;Octubre;120.873
Galicia;No residentes en España;Noviembre;41.644
Galicia;No residentes en España;Diciembre;36.030
Galicia;Unión Europea (sin España);Enero;15.607
Galicia;Unión Europea (sin España);Febrero;20.765
Galicia;Unión Europea (sin España);Marzo;32.187
Galicia;Unión Europea (sin España);Abril;58.619
Galicia;Unión Europea (sin España);Mayo;95.247
Galicia;Unión Europea (sin España);Junio;88.690
Galicia;Unión Europea (sin España);Julio;87.190
Galicia;Unión Europea (sin España);Agosto;118.356
Galicia;Unión Europea (sin España);Septiembre;111.713
Galicia;Unión Europea (sin España);Octubre;75.370
Galicia;Unión Europea (sin España);Noviembre;24.275
Galicia;Unión Europea (sin España);Diciembre;25.103
Galicia;Alemania;Enero;1.153
Galicia;Alemania;Febrero;1.502
Galicia;Alemania;Marzo;5.093
Galicia;Alemania;Abril;9.667
Galicia;Alemania;Mayo;21.469
Galicia;Alemania;Junio;15.586
Galicia;Alemania;Julio;10.911
Galicia;Alemania;Agosto;12.990
Galicia;Alemania;Septiembre;18.552
Galicia;Alemania;Octubre;12.443
Galicia;Alemania;Noviembre;2.546
Galicia;Alemania;Diciembre;1.378
Galicia;Austria;Enero;98
Galicia;Austria;Febrero;92
Galicia;Austria;Marzo;647
Galicia;Austria;Abril;1.177
Galicia;Austria;Mayo;1.593
Galicia;Austria;Junio;1.534
Galicia;Austria;Julio;1.229
Galicia;Austria;Agosto;1.105
Galicia;Austria;Septiembre;2.155
Galicia;Austria;Octubre;1.300
Galicia;Austria;Noviembre;401
Galicia;Austria;Diciembre;76
Galicia;Bélgica;Enero;274
Galicia;Bélgica;Febrero;303
Galicia;Bélgica;Marzo;512
Galicia;Bélgica;Abril;1.002
Galicia;Bélgica;Mayo;2.348
Galicia;Bélgica;Junio;2.111
Galicia;Bélgica;Julio;2.305
Galicia;Bélgica;Agosto;1.731
Galicia;Bélgica;Septiembre;3.260
Galicia;Bélgica;Octubre;2.066
Galicia;Bélgica;Noviembre;977
Galicia;Bélgica;Diciembre;236
Galicia;Dinamarca;Enero;167
Galicia;Dinamarca;Febrero;118
Galicia;Dinamarca;Marzo;335
Galicia;Dinamarca;Abril;663
Galicia;Dinamarca;Mayo;1.340
Galicia;Dinamarca;Junio;1.129
Galicia;Dinamarca;Julio;1.486
Galicia;Dinamarca;Agosto;1.084
Galicia;Dinamarca;Septiembre;2.368
Galicia;Dinamarca;Octubre;1.772
Galicia;Dinamarca;Noviembre;254
Galicia;Dinamarca;Diciembre;103
Galicia;Finlandia;Enero;127
Galicia;Finlandia;Febrero;63
Galicia;Finlandia;Marzo;287
Galicia;Finlandia;Abril;822
Galicia;Finlandia;Mayo;1.080
Galicia;Finlandia;Junio;1.145
Galicia;Finlandia;Julio;430
Galicia;Finlandia;Agosto;542
Galicia;Finlandia;Septiembre;1.074
Galicia;Finlandia;Octubre;336
Galicia;Finlandia;Noviembre;176
Galicia;Finlandia;Diciembre;69
Galicia;Francia;Enero;1.800
Galicia;Francia;Febrero;1.747
Galicia;Francia;Marzo;2.824
Galicia;Francia;Abril;5.128
Galicia;Francia;Mayo;10.412
Galicia;Francia;Junio;9.660
Galicia;Francia;Julio;8.276
Galicia;Francia;Agosto;11.633
Galicia;Francia;Septiembre;11.368
Galicia;Francia;Octubre;7.335
Galicia;Francia;Noviembre;2.628
Galicia;Francia;Diciembre;1.671
Galicia;Grecia;Enero;301
Galicia;Grecia;Febrero;154
Galicia;Grecia;Marzo;90
Galicia;Grecia;Abril;175
Galicia;Grecia;Mayo;498
Galicia;Grecia;Junio;267
Galicia;Grecia;Julio;160
Galicia;Grecia;Agosto;421
Galicia;Grecia;Septiembre;341
Galicia;Grecia;Octubre;320
Galicia;Grecia;Noviembre;234
Galicia;Grecia;Diciembre;67
Galicia;Irlanda;Enero;308
Galicia;Irlanda;Febrero;245
Galicia;Irlanda;Marzo;2.622
Galicia;Irlanda;Abril;4.422
Galicia;Irlanda;Mayo;9.093
Galicia;Irlanda;Junio;6.673
Galicia;Irlanda;Julio;5.001
Galicia;Irlanda;Agosto;4.352
Galicia;Irlanda;Septiembre;9.464
Galicia;Irlanda;Octubre;5.146
Galicia;Irlanda;Noviembre;636
Galicia;Irlanda;Diciembre;234
Galicia;Italia;Enero;1.839
Galicia;Italia;Febrero;2.425
Galicia;Italia;Marzo;3.018
Galicia;Italia;Abril;6.883
Galicia;Italia;Mayo;10.563
Galicia;Italia;Junio;12.230
Galicia;Italia;Julio;13.848
Galicia;Italia;Agosto;28.810
Galicia;Italia;Septiembre;10.945
Galicia;Italia;Octubre;7.802
Galicia;Italia;Noviembre;2.765
Galicia;Italia;Diciembre;1.855
Galicia;Luxemburgo;Enero;..
Galicia;Luxemburgo;Febrero;46
Galicia;Luxemburgo;Marzo;51
Galicia;Luxemburgo;Abril;151
Galicia;Luxemburgo;Mayo;167
Galicia;Luxemburgo;Junio;214
Galicia;Luxemburgo;Julio;182
Galicia;Luxemburgo;Agosto;355
Galicia;Luxemburgo;Septiembre;357
Galicia;Luxemburgo;Octubre;270
Galicia;Luxemburgo;Noviembre;55
Galicia;Luxemburgo;Diciembre;..
Galicia;Países Bajos;Enero;530
Galicia;Países Bajos;Febrero;706
Galicia;Países Bajos;Marzo;952
Galicia;Países Bajos;Abril;2.538
Galicia;Países Bajos;Mayo;4.504
Galicia;Países Bajos;Junio;4.093
Galicia;Países Bajos;Julio;3.793
Galicia;Países Bajos;Agosto;3.392
Galicia;Países Bajos;Septiembre;4.363
Galicia;Países Bajos;Octubre;2.731
Galicia;Países Bajos;Noviembre;674
Galicia;Países Bajos;Diciembre;520
Galicia;Polonia;Enero;422
Galicia;Polonia;Febrero;255
Galicia;Polonia;Marzo;392
Galicia;Polonia;Abril;2.586
Galicia;Polonia;Mayo;1.955
Galicia;Polonia;Junio;2.661
Galicia;Polonia;Julio;2.077
Galicia;Polonia;Agosto;2.000
Galicia;Polonia;Septiembre;2.029
Galicia;Polonia;Octubre;1.010
Galicia;Polonia;Noviembre;571
Galicia;Polonia;Diciembre;342
Galicia;Portugal;Enero;6.737
Galicia;Portugal;Febrero;11.004
Galicia;Portugal;Marzo;11.347
Galicia;Portugal;Abril;15.976
Galicia;Portugal;Mayo;14.628
Galicia;Portugal;Junio;19.237
Galicia;Portugal;Julio;27.197
Galicia;Portugal;Agosto;39.409
Galicia;Portugal;Septiembre;29.049
Galicia;Portugal;Octubre;23.126
Galicia;Portugal;Noviembre;9.285
Galicia;Portugal;Diciembre;16.526
Galicia;Reino Unido;Enero;1.037
Galicia;Reino Unido;Febrero;1.259
Galicia;Reino Unido;Marzo;2.339
Galicia;Reino Unido;Abril;4.794
Galicia;Reino Unido;Mayo;11.391
Galicia;Reino Unido;Junio;8.840
Galicia;Reino Unido;Julio;6.890
Galicia;Reino Unido;Agosto;7.005
Galicia;Reino Unido;Septiembre;12.083
Galicia;Reino Unido;Octubre;6.699
Galicia;Reino Unido;Noviembre;1.804
Galicia;Reino Unido;Diciembre;1.352
Galicia;República Checa;Enero;69
Galicia;República Checa;Febrero;76
Galicia;República Checa;Marzo;205
Galicia;República Checa;Abril;234
Galicia;República Checa;Mayo;487
Galicia;República Checa;Junio;511
Galicia;República Checa;Julio;489
Galicia;República Checa;Agosto;642
Galicia;República Checa;Septiembre;637
Galicia;República Checa;Octubre;291
Galicia;República Checa;Noviembre;233
Galicia;República Checa;Diciembre;31
Galicia;Suecia;Enero;147
Galicia;Suecia;Febrero;146
Galicia;Suecia;Marzo;216
Galicia;Suecia;Abril;1.038
Galicia;Suecia;Mayo;1.715
Galicia;Suecia;Junio;927
Galicia;Suecia;Julio;1.193
Galicia;Suecia;Agosto;575
Galicia;Suecia;Septiembre;1.290
Galicia;Suecia;Octubre;1.144
Galicia;Suecia;Noviembre;269
Galicia;Suecia;Diciembre;111
Galicia;Noruega;Enero;161
Galicia;Noruega;Febrero;147
Galicia;Noruega;Marzo;358
Galicia;Noruega;Abril;525
Galicia;Noruega;Mayo;1.200
Galicia;Noruega;Junio;671
Galicia;Noruega;Julio;1.096
Galicia;Noruega;Agosto;337
Galicia;Noruega;Septiembre;2.093
Galicia;Noruega;Octubre;753
Galicia;Noruega;Noviembre;183
Galicia;Noruega;Diciembre;138
Galicia;Rusia;Enero;298
Galicia;Rusia;Febrero;657
Galicia;Rusia;Marzo;353
Galicia;Rusia;Abril;739
Galicia;Rusia;Mayo;1.216
Galicia;Rusia;Junio;916
Galicia;Rusia;Julio;1.114
Galicia;Rusia;Agosto;1.522
Galicia;Rusia;Septiembre;1.273
Galicia;Rusia;Octubre;896
Galicia;Rusia;Noviembre;477
Galicia;Rusia;Diciembre;375
Galicia;Suiza;Enero;254
Galicia;Suiza;Febrero;218
Galicia;Suiza;Marzo;680
Galicia;Suiza;Abril;1.396
Galicia;Suiza;Mayo;2.652
