Comunidades y ciudades autónomas;País de residencia;Meses;Total
Galicia;Total;Enero;129.630
Galicia;Total;Febrero;137.974
Galicia;Total;Marzo;212.889
Galicia;Total;Abril;215.955
Galicia;Total;Mayo;304.175
Galicia;Total;Junio;342.241
Galicia;Total;Julio;428.494
Galicia;Total;Agosto;577.496
Galicia;Total;Septiembre;393.134
Galicia;Total;Octubre;289.918
Galicia;Total;Noviembre;183.610
Galicia;Total;Diciembre;158.644
Galicia;Residentes en España;Enero;113.740
Galicia;Residentes en España;Febrero;118.884
Galicia;Residentes en España;Marzo;178.499
Galicia;Residentes en España;Abril;157.662
Galicia;Residentes en España;Mayo;196.695
Galicia;Residentes en España;Junio;227.905
Galicia;Residentes en España;Julio;325.560
Galicia;Residentes en España;Agosto;451.989
Galicia;Residentes en España;Septiembre;270.135
Galicia;Residentes en España;Octubre;208.133
Galicia;Residentes en España;Noviembre;156.933
Galicia;Residentes en España;Diciembre;139.117
Galicia;No residentes en España;Enero;15.890
Galicia;No residentes en España;Febrero;19.090
Galicia;No residentes en España;Marzo;34.389
Galicia;No residentes en España;Abril;58.292
Galicia;No residentes en España;Mayo;107.480
Galicia;No residentes en España;Junio;114.337
Galicia;No residentes en España;Julio;102.933
Galicia;No residentes en España;Agosto;125.507
Galicia;No residentes en España;Septiembre;122.999
Galicia;No residentes en España;Octubre;81.785
Galicia;No residentes en España;Noviembre;26.677
Galicia;No residentes en España;Diciembre;19.527
Galicia;Unión Europea (sin España);Enero;9.763
Galicia;Unión Europea (sin España);Febrero;12.954
Galicia;Unión Europea (sin España);Marzo;22.248
Galicia;Unión Europea (sin España);Abril;40.473
Galicia;Unión Europea (sin España);Mayo;73.639
Galicia;Unión Europea (sin España);Junio;76.875
Galicia;Unión Europea (sin España);Julio;70.824
Galicia;Unión Europea (sin España);Agosto;99.723
Galicia;Unión Europea (sin España);Septiembre;83.555
Galicia;Unión Europea (sin España);Octubre;49.150
Galicia;Unión Europea (sin España);Noviembre;15.041
Galicia;Unión Europea (sin España);Diciembre;12.886
Galicia;Alemania;Enero;646
Galicia;Alemania;Febrero;1.059
Galicia;Alemania;Marzo;2.804
Galicia;Alemania;Abril;7.994
Galicia;Alemania;Mayo;17.440
Galicia;Alemania;Junio;16.456
Galicia;Alemania;Julio;11.805
Galicia;Alemania;Agosto;12.149
Galicia;Alemania;Septiembre;15.241
Galicia;Alemania;Octubre;9.067
Galicia;Alemania;Noviembre;1.594
Galicia;Alemania;Diciembre;787
Galicia;Austria;Enero;17
Galicia;Austria;Febrero;96
Galicia;Austria;Marzo;859
Galicia;Austria;Abril;718
Galicia;Austria;Mayo;1.504
Galicia;Austria;Junio;2.081
Galicia;Austria;Julio;1.697
Galicia;Austria;Agosto;1.497
Galicia;Austria;Septiembre;1.824
Galicia;Austria;Octubre;981
Galicia;Austria;Noviembre;244
Galicia;Austria;Diciembre;70
Galicia;Bélgica;Enero;102
Galicia;Bélgica;Febrero;158
Galicia;Bélgica;Marzo;226
Galicia;Bélgica;Abril;809
Galicia;Bélgica;Mayo;2.303
Galicia;Bélgica;Junio;2.128
Galicia;Bélgica;Julio;2.355
Galicia;Bélgica;Agosto;1.396
Galicia;Bélgica;Septiembre;2.243
Galicia;Bélgica;Octubre;861
Galicia;Bélgica;Noviembre;363
Galicia;Bélgica;Diciembre;220
Galicia;Dinamarca;Enero;40
Galicia;Dinamarca;Febrero;103
Galicia;Dinamarca;Marzo;136
Galicia;Dinamarca;Abril;946
Galicia;Dinamarca;Mayo;1.602
Galicia;Dinamarca;Junio;1.226
Galicia;Dinamarca;Julio;1.805
Galicia;Dinamarca;Agosto;909
Galicia;Dinamarca;Septiembre;2.490
Galicia;Dinamarca;Octubre;592
Galicia;Dinamarca;Noviembre;131
Galicia;Dinamarca;Diciembre;68
Galicia;Finlandia;Enero;..
Galicia;Finlandia;Febrero;55
Galicia;Finlandia;Marzo;148
Galicia;Finlandia;Abril;317
Galicia;Finlandia;Mayo;714
Galicia;Finlandia;Junio;377
Galicia;Finlandia;Julio;550
Galicia;Finlandia;Agosto;242
Galicia;Finlandia;Septiembre;908
Galicia;Finlandia;Octubre;497
Galicia;Finlandia;Noviembre;67
Galicia;Finlandia;Diciembre;..
Galicia;Francia;Enero;1.936
Galicia;Francia;Febrero;1.809
Galicia;Francia;Marzo;2.245
Galicia;Francia;Abril;5.509
Galicia;Francia;Mayo;11.641
Galicia;Francia;Junio;10.420
Galicia;Francia;Julio;8.948
Galicia;Francia;Agosto;14.335
Galicia;Francia;Septiembre;11.639
Galicia;Francia;Octubre;6.363
Galicia;Francia;Noviembre;1.947
Galicia;Francia;Diciembre;1.241
Galicia;Grecia;Enero;..
Galicia;Grecia;Febrero;..
Galicia;Grecia;Marzo;90
