Comunidades y ciudades autónomas;País de residencia;Meses;Total
Galicia;Total;Enero;133.249
Galicia;Total;Febrero;151.539
Galicia;Total;Marzo;187.904
Galicia;Total;Abril;270.104
Galicia;Total;Mayo;287.655
Galicia;Total;Junio;337.527
Galicia;Total;Julio;436.211
Galicia;Total;Agosto;533.274
Galicia;Total;Septiembre;377.652
Galicia;Total;Octubre;301.455
Galicia;Total;Noviembre;176.753
Galicia;Total;Diciembre;160.744
Galicia;Residentes en España;Enero;116.959
Galicia;Residentes en España;Febrero;132.340
Galicia;Residentes en España;Marzo;160.293
Galicia;Residentes en España;Abril;215.276
Galicia;Residentes en España;Mayo;201.701
Galicia;Residentes en España;Junio;243.176
Galicia;Residentes en España;Julio;343.931
Galicia;Residentes en España;Agosto;417.788
Galicia;Residentes en España;Septiembre;275.096
Galicia;Residentes en España;Octubre;232.510
Galicia;Residentes en España;Noviembre;151.606
Galicia;Residentes en España;Diciembre;140.786
Galicia;No residentes en España;Enero;16.289
Galicia;No residentes en España;Febrero;19.199
Galicia;No residentes en España;Marzo;27.610
Galicia;No residentes en España;Abril;54.829
Galicia;No residentes en España;Mayo;85.954
Galicia;No residentes en España;Junio;94.352
Galicia;No residentes en España;Julio;92.280
Galicia;No residentes en España;Agosto;115.487
Galicia;No residentes en España;Septiembre;102.556
Galicia;No residentes en España;Octubre;68.945
Galicia;No residentes en España;Noviembre;25.147
Galicia;No residentes en España;Diciembre;19.958
Galicia;Unión Europea (sin España);Enero;11.230
Galicia;Unión Europea (sin España);Febrero;12.868
Galicia;Unión Europea (sin España);Marzo;20.645
Galicia;Unión Europea (sin España);Abril;39.888
Galicia;Unión Europea (sin España);Mayo;62.924
Galicia;Unión Europea (sin España);Junio;72.069
Galicia;Unión Europea (sin España);Julio;67.915
Galicia;Unión Europea (sin España);Agosto;90.052
Galicia;Unión Europea (sin España);Septiembre;74.972
Galicia;Unión Europea (sin España);Octubre;46.097
Galicia;Unión Europea (sin España);Noviembre;16.022
Galicia;Unión Europea (sin España);Diciembre;13.569
Galicia;Alemania;Enero;905
Galicia;Alemania;Febrero;859
Galicia;Alemania;Marzo;1.933
Galicia;Alemania;Abril;7.506
Galicia;Alemania;Mayo;16.167
Galicia;Alemania;Junio;16.887
Galicia;Alemania;Julio;12.253
Galicia;Alemania;Agosto;12.644
Galicia;Alemania;Septiembre;16.624
Galicia;Alemania;Octubre;8.530
Galicia;Alemania;Noviembre;1.457
Galicia;Alemania;Diciembre;606
Galicia;Austria;Enero;133
Galicia;Austria;Febrero;79
Galicia;Austria;Marzo;73
Galicia;Austria;Abril;1.122
Galicia;Austria;Mayo;2.550
Galicia;Austria;Junio;2.199
Galicia;Austria;Julio;1.317
Galicia;Austria;Agosto;1.163
Galicia;Austria;Septiembre;1.682
Galicia;Austria;Octubre;877
Galicia;Austria;Noviembre;170
Galicia;Austria;Diciembre;36
Galicia;Bélgica;Enero;141
Galicia;Bélgica;Febrero;103
Galicia;Bélgica;Marzo;180
Galicia;Bélgica;Abril;324
Galicia;Bélgica;Mayo;1.902
Galicia;Bélgica;Junio;1.115
Galicia;Bélgica;Julio;2.450
Galicia;Bélgica;Agosto;1.818
Galicia;Bélgica;Septiembre;2.401
Galicia;Bélgica;Octubre;620
Galicia;Bélgica;Noviembre;353
Galicia;Bélgica;Diciembre;177
Galicia;Dinamarca;Enero;149
Galicia;Dinamarca;Febrero;127
Galicia;Dinamarca;Marzo;181
Galicia;Dinamarca;Abril;700
Galicia;Dinamarca;Mayo;1.270
Galicia;Dinamarca;Junio;1.062
Galicia;Dinamarca;Julio;1.050
Galicia;Dinamarca;Agosto;651
Galicia;Dinamarca;Septiembre;1.269
Galicia;Dinamarca;Octubre;589
Galicia;Dinamarca;Noviembre;77
Galicia;Dinamarca;Diciembre;56
Galicia;Finlandia;Enero;33
Galicia;Finlandia;Febrero;25
Galicia;Finlandia;Marzo;46
Galicia;Finlandia;Abril;380
Galicia;Finlandia;Mayo;743
Galicia;Finlandia;Junio;536
Galicia;Finlandia;Julio;635
Galicia;Finlandia;Agosto;634
Galicia;Finlandia;Septiembre;598
Galicia;Finlandia;Octubre;376
Galicia;Finlandia;Noviembre;128
Galicia;Finlandia;Diciembre;81
Galicia;Francia;Enero;1.235
Galicia;Francia;Febrero;1.911
Galicia;Francia;Marzo;2.087
Galicia;Francia;Abril;5.013
Galicia;Francia;Mayo;10.090
Galicia;Francia;Junio;9.058
Galicia;Francia;Julio;9.935
Galicia;Francia;Agosto;12.784
Galicia;Francia;Septiembre;10.603
Galicia;Francia;Octubre;6.766
Galicia;Francia;Noviembre;2.488
Galicia;Francia;Diciembre;1.691
Galicia;Grecia;Enero;26
Galicia;Grecia;Febrero;55
Galicia;Grecia;Marzo;88
Galicia;Grecia;Abril;164
Galicia;Grecia;Mayo;215
Galicia;Grecia;Junio;92
Galicia;Grecia;Julio;186
Galicia;Grecia;Agosto;398
Galicia;Grecia;Septiembre;185
Galicia;Grecia;Octubre;108
Galicia;Grecia;Noviembre;46
Galicia;Grecia;Diciembre;18
Galicia;Irlanda;Enero;142
Galicia;Irlanda;Febrero;114
Galicia;Irlanda;Marzo;209
Galicia;Irlanda;Abril;1.151
Galicia;Irlanda;Mayo;2.907
Galicia;Irlanda;Junio;3.379
Galicia;Irlanda;Julio;2.824
Galicia;Irlanda;Agosto;2.437
Galicia;Irlanda;Septiembre;2.694
Galicia;Irlanda;Octubre;1.246
Galicia;Irlanda;Noviembre;255
Galicia;Irlanda;Diciembre;158
Galicia;Italia;Enero;1.062
Galicia;Italia;Febrero;1.330
Galicia;Italia;Marzo;2.789
Galicia;Italia;Abril;4.076
Galicia;Italia;Mayo;6.112
Galicia;Italia;Junio;6.922
Galicia;Italia;Julio;10.348
Galicia;Italia;Agosto;20.379
Galicia;Italia;Septiembre;7.618
Galicia;Italia;Octubre;5.716
Galicia;Italia;Noviembre;2.049
Galicia;Italia;Diciembre;825
Galicia;Luxemburgo;Enero;10
Galicia;Luxemburgo;Febrero;26
Galicia;Luxemburgo;Marzo;..
Galicia;Luxemburgo;Abril;69
Galicia;Luxemburgo;Mayo;115
Galicia;Luxemburgo;Junio;89
Galicia;Luxemburgo;Julio;134
Galicia;Luxemburgo;Agosto;306
Galicia;Luxemburgo;Septiembre;61
Galicia;Luxemburgo;Octubre;43
Galicia;Luxemburgo;Noviembre;19
Galicia;Luxemburgo;Diciembre;..
Galicia;Países Bajos;Enero;243
Galicia;Países Bajos;Febrero;525
Galicia;Países Bajos;Marzo;412
Galicia;Países Bajos;Abril;1.030
Galicia;Países Bajos;Mayo;1.876
Galicia;Países Bajos;Junio;2.336
Galicia;Países Bajos;Julio;2.384
Galicia;Países Bajos;Agosto;1.983
Galicia;Países Bajos;Septiembre;2.859
Galicia;Países Bajos;Octubre;1.332
Galicia;Países Bajos;Noviembre;267
Galicia;Países Bajos;Diciembre;433
Galicia;Polonia;Enero;79
Galicia;Polonia;Febrero;217
Galicia;Polonia;Marzo;336
Galicia;Polonia;Abril;547
Galicia;Polonia;Mayo;1.581
Galicia;Polonia;Junio;781
Galicia;Polonia;Julio;3.001
Galicia;Polonia;Agosto;1.444
Galicia;Polonia;Septiembre;3.133
Galicia;Polonia;Octubre;962
Galicia;Polonia;Noviembre;501
Galicia;Polonia;Diciembre;131
Galicia;Portugal;Enero;5.453
Galicia;Portugal;Febrero;6.418
Galicia;Portugal;Marzo;9.279
Galicia;Portugal;Abril;13.591
Galicia;Portugal;Mayo;10.908
Galicia;Portugal;Junio;19.948
Galicia;Portugal;Julio;14.688
Galicia;Portugal;Agosto;26.183
Galicia;Portugal;Septiembre;16.433
Galicia;Portugal;Octubre;13.452
Galicia;Portugal;Noviembre;6.317
Galicia;Portugal;Diciembre;8.335
Galicia;Reino Unido;Enero;669
Galicia;Reino Unido;Febrero;571
Galicia;Reino Unido;Marzo;2.350
Galicia;Reino Unido;Abril;2.159
Galicia;Reino Unido;Mayo;4.551
Galicia;Reino Unido;Junio;5.573
Galicia;Reino Unido;Julio;3.681
Galicia;Reino Unido;Agosto;5.128
Galicia;Reino Unido;Septiembre;5.857
Galicia;Reino Unido;Octubre;3.445
Galicia;Reino Unido;Noviembre;1.155
Galicia;Reino Unido;Diciembre;702
Galicia;República Checa;Enero;114
Galicia;República Checa;Febrero;26
