Comunidades y ciudades autónomas;País de residencia;Meses;Total
Galicia;Total;Enero;148.902
Galicia;Total;Febrero;173.224
Galicia;Total;Marzo;262.252
Galicia;Total;Abril;281.305
Galicia;Total;Mayo;386.192
Galicia;Total;Junio;458.661
Galicia;Total;Julio;584.427
Galicia;Total;Agosto;703.201
Galicia;Total;Septiembre;517.662
Galicia;Total;Octubre;406.240
Galicia;Total;Noviembre;216.372
Galicia;Total;Diciembre;187.963
Galicia;Residentes en España;Enero;128.415
Galicia;Residentes en España;Febrero;148.909
Galicia;Residentes en España;Marzo;218.093
Galicia;Residentes en España;Abril;197.903
Galicia;Residentes en España;Mayo;224.761
Galicia;Residentes en España;Junio;290.026
Galicia;Residentes en España;Julio;434.600
Galicia;Residentes en España;Agosto;526.636
Galicia;Residentes en España;Septiembre;327.416
Galicia;Residentes en España;Octubre;271.124
Galicia;Residentes en España;Noviembre;176.386
Galicia;Residentes en España;Diciembre;158.715
Galicia;No residentes en España;Enero;20.486
Galicia;No residentes en España;Febrero;24.315
Galicia;No residentes en España;Marzo;44.159
Galicia;No residentes en España;Abril;83.403
Galicia;No residentes en España;Mayo;161.431
Galicia;No residentes en España;Junio;168.635
Galicia;No residentes en España;Julio;149.827
Galicia;No residentes en España;Agosto;176.566
Galicia;No residentes en España;Septiembre;190.246
Galicia;No residentes en España;Octubre;135.116
Galicia;No residentes en España;Noviembre;39.986
Galicia;No residentes en España;Diciembre;29.248
Galicia;Unión Europea (sin España);Enero;11.866
Galicia;Unión Europea (sin España);Febrero;17.255
Galicia;Unión Europea (sin España);Marzo;29.456
Galicia;Unión Europea (sin España);Abril;60.097
Galicia;Unión Europea (sin España);Mayo;104.393
Galicia;Unión Europea (sin España);Junio;113.894
Galicia;Unión Europea (sin España);Julio;102.632
Galicia;Unión Europea (sin España);Agosto;139.560
Galicia;Unión Europea (sin España);Septiembre;129.219
Galicia;Unión Europea (sin España);Octubre;81.193
Galicia;Unión Europea (sin España);Noviembre;24.952
Galicia;Unión Europea (sin España);Diciembre;19.703
Galicia;Alemania;Enero;878
Galicia;Alemania;Febrero;1.209
Galicia;Alemania;Marzo;5.023
Galicia;Alemania;Abril;10.664
Galicia;Alemania;Mayo;24.831
Galicia;Alemania;Junio;21.462
Galicia;Alemania;Julio;14.822
Galicia;Alemania;Agosto;17.595
Galicia;Alemania;Septiembre;24.518
Galicia;Alemania;Octubre;17.549
Galicia;Alemania;Noviembre;3.199
Galicia;Alemania;Diciembre;1.551
Galicia;Austria;Enero;166
Galicia;Austria;Febrero;36
Galicia;Austria;Marzo;440
Galicia;Austria;Abril;1.005
Galicia;Austria;Mayo;2.681
Galicia;Austria;Junio;2.288
Galicia;Austria;Julio;1.202
Galicia;Austria;Agosto;1.564
Galicia;Austria;Septiembre;2.471
Galicia;Austria;Octubre;1.158
Galicia;Austria;Noviembre;300
Galicia;Austria;Diciembre;123
Galicia;Bélgica;Enero;291
Galicia;Bélgica;Febrero;263
Galicia;Bélgica;Marzo;411
Galicia;Bélgica;Abril;884
Galicia;Bélgica;Mayo;2.102
Galicia;Bélgica;Junio;2.474
Galicia;Bélgica;Julio;2.999
Galicia;Bélgica;Agosto;2.480
