Comunidades autónomas;País de residencia;Meses;Total
Galicia;Total;Enero;149.815
Galicia;Total;Febrero;179.565
Galicia;Total;Marzo;209.544
Galicia;Total;Abril;283.982
Galicia;Total;Mayo;314.695
Galicia;Total;Junio;364.961
Galicia;Total;Julio;435.725
Galicia;Total;Agosto;557.662
Galicia;Total;Septiembre;414.833
Galicia;Total;Octubre;348.610
Galicia;Total;Noviembre;220.292
Galicia;Total;Diciembre;196.305
Galicia;Residentes en España;Enero;132.698
Galicia;Residentes en España;Febrero;151.684
Galicia;Residentes en España;Marzo;186.054
Galicia;Residentes en España;Abril;244.930
Galicia;Residentes en España;Mayo;254.221
Galicia;Residentes en España;Junio;295.654
Galicia;Residentes en España;Julio;361.781
Galicia;Residentes en España;Agosto;468.415
Galicia;Residentes en España;Septiembre;338.609
Galicia;Residentes en España;Octubre;290.065
Galicia;Residentes en España;Noviembre;193.019
Galicia;Residentes en España;Diciembre;172.007
Galicia;No residentes en España;Enero;17.117
Galicia;No residentes en España;Febrero;27.881
Galicia;No residentes en España;Marzo;23.490
Galicia;No residentes en España;Abril;39.052
Galicia;No residentes en España;Mayo;60.474
Galicia;No residentes en España;Junio;69.306
Galicia;No residentes en España;Julio;73.944
Galicia;No residentes en España;Agosto;89.248
Galicia;No residentes en España;Septiembre;76.224
Galicia;No residentes en España;Octubre;58.544
Galicia;No residentes en España;Noviembre;27.273
Galicia;No residentes en España;Diciembre;24.298
Galicia;Alemania;Enero;913
Galicia;Alemania;Febrero;1.452
Galicia;Alemania;Marzo;1.203
Galicia;Alemania;Abril;4.409
Galicia;Alemania;Mayo;8.164
Galicia;Alemania;Junio;7.649
Galicia;Alemania;Julio;5.915
Galicia;Alemania;Agosto;5.987
Galicia;Alemania;Septiembre;7.634
Galicia;Alemania;Octubre;5.841
Galicia;Alemania;Noviembre;1.230
Galicia;Alemania;Diciembre;1.015
Galicia;Austria;Enero;15
Galicia;Austria;Febrero;51
Galicia;Austria;Marzo;86
Galicia;Austria;Abril;422
Galicia;Austria;Mayo;707
Galicia;Austria;Junio;534
Galicia;Austria;Julio;681
